,seed,life_threshold,death_threshold,file
0,0,0,9,./data/dataset1/all_live/ca_s0
1,1,0,9,./data/dataset1/all_live/ca_s1
2,2,0,9,./data/dataset1/all_live/ca_s2
3,3,0,9,./data/dataset1/all_live/ca_s3
4,4,0,9,./data/dataset1/all_live/ca_s4
5,5,0,9,./data/dataset1/all_live/ca_s5
6,6,0,9,./data/dataset1/all_live/ca_s6
7,7,0,9,./data/dataset1/all_live/ca_s7
8,8,0,9,./data/dataset1/all_live/ca_s8
9,9,0,9,./data/dataset1/all_live/ca_s9
10,0,9,0,./data/dataset1/all_die/ca_s0
11,1,9,0,./data/dataset1/all_die/ca_s1
12,2,9,0,./data/dataset1/all_die/ca_s2
13,3,9,0,./data/dataset1/all_die/ca_s3
14,4,9,0,./data/dataset1/all_die/ca_s4
15,5,9,0,./data/dataset1/all_die/ca_s5
16,6,9,0,./data/dataset1/all_die/ca_s6
17,7,9,0,./data/dataset1/all_die/ca_s7
18,8,9,0,./data/dataset1/all_die/ca_s8
19,9,9,0,./data/dataset1/all_die/ca_s9
