,seed,life_threshold,death_threshold,size,initial_density,iterations,file
0,0,1,8,10,0.5,3,./data/dataset2/l1_d8/ca_s0
1,1,1,8,10,0.5,3,./data/dataset2/l1_d8/ca_s1
2,2,1,8,10,0.5,3,./data/dataset2/l1_d8/ca_s2
3,3,1,8,10,0.5,3,./data/dataset2/l1_d8/ca_s3
4,0,3,6,10,0.5,3,./data/dataset2/l3_d6/ca_s0
5,1,3,6,10,0.5,3,./data/dataset2/l3_d6/ca_s1
6,2,3,6,10,0.5,3,./data/dataset2/l3_d6/ca_s2
7,3,3,6,10,0.5,3,./data/dataset2/l3_d6/ca_s3
8,0,5,5,10,0.5,3,./data/dataset2/l5_d5/ca_s0
9,1,5,5,10,0.5,3,./data/dataset2/l5_d5/ca_s1
10,2,5,5,10,0.5,3,./data/dataset2/l5_d5/ca_s2
11,3,5,5,10,0.5,3,./data/dataset2/l5_d5/ca_s3
12,0,6,3,10,0.5,3,./data/dataset2/l6_d3/ca_s0
13,1,6,3,10,0.5,3,./data/dataset2/l6_d3/ca_s1
14,2,6,3,10,0.5,3,./data/dataset2/l6_d3/ca_s2
15,3,6,3,10,0.5,3,./data/dataset2/l6_d3/ca_s3
16,0,8,1,10,0.5,3,./data/dataset2/l8_d1/ca_s0
17,1,8,1,10,0.5,3,./data/dataset2/l8_d1/ca_s1
18,2,8,1,10,0.5,3,./data/dataset2/l8_d1/ca_s2
19,3,8,1,10,0.5,3,./data/dataset2/l8_d1/ca_s3
