,id,B,S,size,density,iterations,file,density_evolution
0,0,9,0,10,0.5,10,./data/dataset6/individuals/ca_pair_0_0,"[0.51, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,1,9,0,10,0.5,10,./data/dataset6/individuals/ca_pair_0_1,"[0.43, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2,2,9,0,10,0.5,10,./data/dataset6/individuals/ca_pair_0_2,"[0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
3,3,9,0,10,0.5,10,./data/dataset6/individuals/ca_pair_0_3,"[0.55, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4,4,9,0,10,0.5,10,./data/dataset6/individuals/ca_pair_0_4,"[0.55, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
5,5,9,0,10,0.5,10,./data/dataset6/individuals/ca_pair_0_5,"[0.47, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
6,6,9,0,10,0.5,10,./data/dataset6/individuals/ca_pair_0_6,"[0.53, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
7,7,9,0,10,0.5,10,./data/dataset6/individuals/ca_pair_0_7,"[0.59, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
8,8,9,0,10,0.5,10,./data/dataset6/individuals/ca_pair_0_8,"[0.52, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
9,9,9,0,10,0.5,10,./data/dataset6/individuals/ca_pair_0_9,"[0.52, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
10,10,9,0,10,0.5,10,./data/dataset6/individuals/ca_pair_0_10,"[0.51, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
11,11,9,0,10,0.5,10,./data/dataset6/individuals/ca_pair_0_11,"[0.51, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
12,12,9,0,10,0.5,10,./data/dataset6/individuals/ca_pair_0_12,"[0.46, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
13,13,9,0,10,0.5,10,./data/dataset6/individuals/ca_pair_0_13,"[0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
14,14,9,0,10,0.5,10,./data/dataset6/individuals/ca_pair_0_14,"[0.53, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
15,15,9,0,10,0.5,10,./data/dataset6/individuals/ca_pair_0_15,"[0.42, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
16,16,9,0,10,0.5,10,./data/dataset6/individuals/ca_pair_0_16,"[0.48, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
17,17,9,0,10,0.5,10,./data/dataset6/individuals/ca_pair_0_17,"[0.54, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
18,18,9,0,10,0.5,10,./data/dataset6/individuals/ca_pair_0_18,"[0.48, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
19,19,9,0,10,0.5,10,./data/dataset6/individuals/ca_pair_0_19,"[0.48, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
20,20,9,0,10,0.5,10,./data/dataset6/individuals/ca_pair_0_20,"[0.55, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
21,21,9,0,10,0.5,10,./data/dataset6/individuals/ca_pair_0_21,"[0.44, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
22,22,9,0,10,0.5,10,./data/dataset6/individuals/ca_pair_0_22,"[0.46, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
23,23,9,0,10,0.5,10,./data/dataset6/individuals/ca_pair_0_23,"[0.55, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
24,24,9,0,10,0.5,10,./data/dataset6/individuals/ca_pair_0_24,"[0.48, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
25,25,9,0,10,0.5,10,./data/dataset6/individuals/ca_pair_0_25,"[0.47, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
26,26,9,0,10,0.5,10,./data/dataset6/individuals/ca_pair_0_26,"[0.41, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
27,27,9,0,10,0.5,10,./data/dataset6/individuals/ca_pair_0_27,"[0.57, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
28,28,9,0,10,0.5,10,./data/dataset6/individuals/ca_pair_0_28,"[0.53, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
29,29,9,0,10,0.5,10,./data/dataset6/individuals/ca_pair_0_29,"[0.53, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
30,0,9,1,10,0.5,10,./data/dataset6/individuals/ca_pair_1_0,"[0.51, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
31,1,9,1,10,0.5,10,./data/dataset6/individuals/ca_pair_1_1,"[0.49, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
32,2,9,1,10,0.5,10,./data/dataset6/individuals/ca_pair_1_2,"[0.52, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
33,3,9,1,10,0.5,10,./data/dataset6/individuals/ca_pair_1_3,"[0.48, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
34,4,9,1,10,0.5,10,./data/dataset6/individuals/ca_pair_1_4,"[0.56, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
35,5,9,1,10,0.5,10,./data/dataset6/individuals/ca_pair_1_5,"[0.53, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
36,6,9,1,10,0.5,10,./data/dataset6/individuals/ca_pair_1_6,"[0.53, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]"
37,7,9,1,10,0.5,10,./data/dataset6/individuals/ca_pair_1_7,"[0.53, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
38,8,9,1,10,0.5,10,./data/dataset6/individuals/ca_pair_1_8,"[0.54, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
39,9,9,1,10,0.5,10,./data/dataset6/individuals/ca_pair_1_9,"[0.64, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
40,10,9,1,10,0.5,10,./data/dataset6/individuals/ca_pair_1_10,"[0.53, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
41,11,9,1,10,0.5,10,./data/dataset6/individuals/ca_pair_1_11,"[0.47, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
42,12,9,1,10,0.5,10,./data/dataset6/individuals/ca_pair_1_12,"[0.47, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
43,13,9,1,10,0.5,10,./data/dataset6/individuals/ca_pair_1_13,"[0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
44,14,9,1,10,0.5,10,./data/dataset6/individuals/ca_pair_1_14,"[0.49, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]"
45,15,9,1,10,0.5,10,./data/dataset6/individuals/ca_pair_1_15,"[0.51, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
46,16,9,1,10,0.5,10,./data/dataset6/individuals/ca_pair_1_16,"[0.53, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
47,17,9,1,10,0.5,10,./data/dataset6/individuals/ca_pair_1_17,"[0.53, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
48,18,9,1,10,0.5,10,./data/dataset6/individuals/ca_pair_1_18,"[0.51, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
49,19,9,1,10,0.5,10,./data/dataset6/individuals/ca_pair_1_19,"[0.57, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
50,20,9,1,10,0.5,10,./data/dataset6/individuals/ca_pair_1_20,"[0.48, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
51,21,9,1,10,0.5,10,./data/dataset6/individuals/ca_pair_1_21,"[0.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
52,22,9,1,10,0.5,10,./data/dataset6/individuals/ca_pair_1_22,"[0.46, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
53,23,9,1,10,0.5,10,./data/dataset6/individuals/ca_pair_1_23,"[0.52, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
54,24,9,1,10,0.5,10,./data/dataset6/individuals/ca_pair_1_24,"[0.48, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]"
55,25,9,1,10,0.5,10,./data/dataset6/individuals/ca_pair_1_25,"[0.43, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
56,26,9,1,10,0.5,10,./data/dataset6/individuals/ca_pair_1_26,"[0.51, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
57,27,9,1,10,0.5,10,./data/dataset6/individuals/ca_pair_1_27,"[0.52, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
58,28,9,1,10,0.5,10,./data/dataset6/individuals/ca_pair_1_28,"[0.55, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
59,29,9,1,10,0.5,10,./data/dataset6/individuals/ca_pair_1_29,"[0.52, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
60,0,9,2,10,0.5,10,./data/dataset6/individuals/ca_pair_2_0,"[0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
61,1,9,2,10,0.5,10,./data/dataset6/individuals/ca_pair_2_1,"[0.52, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03]"
62,2,9,2,10,0.5,10,./data/dataset6/individuals/ca_pair_2_2,"[0.49, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03]"
63,3,9,2,10,0.5,10,./data/dataset6/individuals/ca_pair_2_3,"[0.47, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02]"
64,4,9,2,10,0.5,10,./data/dataset6/individuals/ca_pair_2_4,"[0.49, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]"
65,5,9,2,10,0.5,10,./data/dataset6/individuals/ca_pair_2_5,"[0.54, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02]"
66,6,9,2,10,0.5,10,./data/dataset6/individuals/ca_pair_2_6,"[0.58, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
67,7,9,2,10,0.5,10,./data/dataset6/individuals/ca_pair_2_7,"[0.5, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02]"
68,8,9,2,10,0.5,10,./data/dataset6/individuals/ca_pair_2_8,"[0.45, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02]"
69,9,9,2,10,0.5,10,./data/dataset6/individuals/ca_pair_2_9,"[0.54, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
70,10,9,2,10,0.5,10,./data/dataset6/individuals/ca_pair_2_10,"[0.55, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]"
71,11,9,2,10,0.5,10,./data/dataset6/individuals/ca_pair_2_11,"[0.48, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03]"
72,12,9,2,10,0.5,10,./data/dataset6/individuals/ca_pair_2_12,"[0.52, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02]"
73,13,9,2,10,0.5,10,./data/dataset6/individuals/ca_pair_2_13,"[0.39, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02]"
74,14,9,2,10,0.5,10,./data/dataset6/individuals/ca_pair_2_14,"[0.51, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]"
75,15,9,2,10,0.5,10,./data/dataset6/individuals/ca_pair_2_15,"[0.51, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02]"
76,16,9,2,10,0.5,10,./data/dataset6/individuals/ca_pair_2_16,"[0.52, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02]"
77,17,9,2,10,0.5,10,./data/dataset6/individuals/ca_pair_2_17,"[0.58, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
78,18,9,2,10,0.5,10,./data/dataset6/individuals/ca_pair_2_18,"[0.5, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03]"
79,19,9,2,10,0.5,10,./data/dataset6/individuals/ca_pair_2_19,"[0.46, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03]"
80,20,9,2,10,0.5,10,./data/dataset6/individuals/ca_pair_2_20,"[0.56, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02]"
81,21,9,2,10,0.5,10,./data/dataset6/individuals/ca_pair_2_21,"[0.49, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]"
82,22,9,2,10,0.5,10,./data/dataset6/individuals/ca_pair_2_22,"[0.56, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]"
83,23,9,2,10,0.5,10,./data/dataset6/individuals/ca_pair_2_23,"[0.51, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]"
84,24,9,2,10,0.5,10,./data/dataset6/individuals/ca_pair_2_24,"[0.43, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04]"
85,25,9,2,10,0.5,10,./data/dataset6/individuals/ca_pair_2_25,"[0.51, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02]"
86,26,9,2,10,0.5,10,./data/dataset6/individuals/ca_pair_2_26,"[0.51, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
87,27,9,2,10,0.5,10,./data/dataset6/individuals/ca_pair_2_27,"[0.48, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03]"
88,28,9,2,10,0.5,10,./data/dataset6/individuals/ca_pair_2_28,"[0.48, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03]"
89,29,9,2,10,0.5,10,./data/dataset6/individuals/ca_pair_2_29,"[0.53, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]"
90,0,9,3,10,0.5,10,./data/dataset6/individuals/ca_pair_3_0,"[0.53, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07]"
91,1,9,3,10,0.5,10,./data/dataset6/individuals/ca_pair_3_1,"[0.57, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04]"
92,2,9,3,10,0.5,10,./data/dataset6/individuals/ca_pair_3_2,"[0.51, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]"
93,3,9,3,10,0.5,10,./data/dataset6/individuals/ca_pair_3_3,"[0.49, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04]"
94,4,9,3,10,0.5,10,./data/dataset6/individuals/ca_pair_3_4,"[0.54, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08]"
95,5,9,3,10,0.5,10,./data/dataset6/individuals/ca_pair_3_5,"[0.53, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07]"
96,6,9,3,10,0.5,10,./data/dataset6/individuals/ca_pair_3_6,"[0.51, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]"
97,7,9,3,10,0.5,10,./data/dataset6/individuals/ca_pair_3_7,"[0.41, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11]"
98,8,9,3,10,0.5,10,./data/dataset6/individuals/ca_pair_3_8,"[0.43, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12]"
99,9,9,3,10,0.5,10,./data/dataset6/individuals/ca_pair_3_9,"[0.48, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]"
100,10,9,3,10,0.5,10,./data/dataset6/individuals/ca_pair_3_10,"[0.54, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]"
101,11,9,3,10,0.5,10,./data/dataset6/individuals/ca_pair_3_11,"[0.54, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07]"
102,12,9,3,10,0.5,10,./data/dataset6/individuals/ca_pair_3_12,"[0.58, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]"
103,13,9,3,10,0.5,10,./data/dataset6/individuals/ca_pair_3_13,"[0.56, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02]"
104,14,9,3,10,0.5,10,./data/dataset6/individuals/ca_pair_3_14,"[0.46, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08]"
105,15,9,3,10,0.5,10,./data/dataset6/individuals/ca_pair_3_15,"[0.47, 0.15, 0.15, 0.15, 0.15, 0.15, 0.15, 0.15, 0.15, 0.15]"
