,id,B,S,0,1,2,3,4,5,6,7,8,9
0,0,"(0, 5)","(3, 3)",0.54,0.52,0.48,0.56,0.43,0.59,0.42,0.59,0.42,0.6
1,1,"(7, 9)","(3, 5)",0.51,0.45,0.31,0.17,0.09,0.07,0.05,0.03,0.0,0.0
2,2,"(2, 4)","(6, 7)",0.45,0.51,0.38,0.39,0.36,0.45,0.35,0.43,0.4,0.34
3,3,"(8, 8)","(1, 6)",0.5,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49
4,4,"(7, 7)","(1, 8)",0.48,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49
5,5,"(5, 9)","(8, 9)",0.49,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,"(3, 4)","(0, 3)",0.47,0.5,0.24,0.49,0.23,0.45,0.25,0.5,0.22,0.34
7,7,"(0, 5)","(2, 3)",0.55,0.51,0.48,0.56,0.45,0.57,0.44,0.57,0.44,0.57
8,8,"(1, 8)","(3, 3)",0.48,0.6,0.43,0.6,0.41,0.65,0.37,0.63,0.37,0.63
9,9,"(3, 7)","(0, 1)",0.53,0.45,0.47,0.57,0.43,0.47,0.51,0.49,0.49,0.51
10,10,"(9, 9)","(0, 4)",0.43,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
11,11,"(3, 7)","(2, 7)",0.52,0.94,0.27,0.34,0.54,0.51,0.73,0.78,0.88,0.58
12,12,"(0, 2)","(0, 4)",0.55,0.31,0.54,0.34,0.55,0.34,0.55,0.34,0.55,0.34
13,13,"(5, 5)","(6, 8)",0.48,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,"(1, 4)","(4, 9)",0.49,0.59,0.69,0.69,0.71,0.74,0.74,0.74,0.74,0.74
15,15,"(1, 8)","(1, 7)",0.47,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16,"(9, 9)","(3, 6)",0.46,0.35,0.28,0.25,0.21,0.16,0.14,0.14,0.14,0.14
17,17,"(2, 7)","(0, 3)",0.52,0.62,0.43,0.51,0.54,0.51,0.46,0.49,0.51,0.54
18,18,"(5, 9)","(4, 4)",0.5,0.43,0.2,0.04,0.0,0.0,0.0,0.0,0.0,0.0
19,19,"(4, 6)","(3, 4)",0.44,0.53,0.38,0.36,0.22,0.12,0.08,0.05,0.03,0.0
20,20,"(4, 4)","(4, 8)",0.51,0.55,0.52,0.51,0.46,0.45,0.47,0.45,0.47,0.5
21,21,"(3, 7)","(5, 5)",0.51,0.52,0.55,0.53,0.52,0.5,0.5,0.5,0.5,0.5
22,22,"(0, 1)","(5, 9)",0.56,0.25,0.55,0.32,0.68,0.53,0.5,0.43,0.37,0.52
23,23,"(0, 3)","(0, 5)",0.52,0.64,0.45,0.63,0.48,0.63,0.49,0.62,0.49,0.62
24,24,"(1, 2)","(2, 4)",0.46,0.45,0.42,0.41,0.4,0.42,0.51,0.44,0.49,0.48
25,25,"(0, 3)","(0, 2)",0.43,0.38,0.56,0.38,0.56,0.38,0.57,0.39,0.57,0.39
26,26,"(5, 7)","(0, 9)",0.45,0.64,0.75,0.83,0.87,0.91,0.95,0.99,0.99,0.99
27,27,"(2, 7)","(2, 9)",0.54,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97
28,28,"(2, 3)","(2, 3)",0.56,0.21,0.35,0.48,0.3,0.41,0.45,0.32,0.61,0.15
29,29,"(3, 4)","(1, 2)",0.5,0.36,0.26,0.38,0.37,0.38,0.27,0.47,0.35,0.4
30,30,"(1, 9)","(4, 6)",0.48,0.8,0.69,0.56,0.65,0.78,0.69,0.6,0.67,0.71
31,31,"(2, 8)","(0, 3)",0.46,0.73,0.28,0.46,0.49,0.6,0.36,0.58,0.47,0.45
32,32,"(0, 6)","(0, 6)",0.49,0.99,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
33,33,"(3, 3)","(8, 8)",0.49,0.1,0.05,0.03,0.01,0.0,0.0,0.0,0.0,0.0
34,34,"(2, 8)","(2, 3)",0.47,0.62,0.46,0.59,0.42,0.55,0.49,0.49,0.51,0.61
35,35,"(0, 8)","(3, 8)",0.41,0.87,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
36,36,"(2, 8)","(4, 8)",0.42,0.71,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0
37,37,"(0, 3)","(3, 4)",0.52,0.42,0.49,0.4,0.55,0.36,0.57,0.38,0.6,0.35
38,38,"(6, 9)","(0, 8)",0.53,0.62,0.7,0.73,0.76,0.78,0.79,0.79,0.79,0.79
39,39,"(5, 8)","(0, 9)",0.53,0.74,0.86,0.96,1.0,1.0,1.0,1.0,1.0,1.0
40,40,"(6, 9)","(3, 5)",0.47,0.44,0.28,0.16,0.13,0.1,0.1,0.1,0.1,0.1
41,41,"(1, 8)","(0, 4)",0.51,0.83,0.23,0.49,0.59,0.54,0.52,0.54,0.63,0.47
42,42,"(6, 9)","(5, 7)",0.43,0.1,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,43,"(8, 8)","(2, 9)",0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
44,44,"(6, 8)","(6, 9)",0.6,0.31,0.1,0.01,0.0,0.0,0.0,0.0,0.0,0.0
45,45,"(1, 6)","(8, 8)",0.53,0.46,0.53,0.47,0.52,0.47,0.52,0.47,0.52,0.47
46,46,"(2, 3)","(3, 6)",0.46,0.6,0.57,0.63,0.62,0.62,0.62,0.62,0.62,0.62
47,47,"(3, 6)","(5, 7)",0.4,0.47,0.47,0.53,0.48,0.48,0.5,0.48,0.5,0.48
48,48,"(0, 8)","(4, 6)",0.41,0.8,0.71,0.64,0.67,0.63,0.68,0.62,0.68,0.62
49,49,"(5, 8)","(2, 3)",0.51,0.3,0.17,0.12,0.07,0.04,0.04,0.04,0.04,0.04
50,50,"(7, 9)","(3, 5)",0.44,0.36,0.34,0.31,0.27,0.25,0.23,0.19,0.16,0.13
51,51,"(4, 5)","(3, 3)",0.48,0.39,0.3,0.18,0.07,0.03,0.0,0.0,0.0,0.0
52,52,"(7, 9)","(9, 9)",0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,53,"(3, 7)","(2, 3)",0.46,0.58,0.48,0.34,0.38,0.5,0.32,0.46,0.48,0.4
54,54,"(7, 9)","(5, 7)",0.48,0.21,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,55,"(1, 2)","(2, 8)",0.48,0.56,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
56,56,"(1, 5)","(4, 8)",0.47,0.68,0.72,0.78,0.79,0.79,0.79,0.79,0.79,0.79
57,57,"(0, 2)","(5, 5)",0.47,0.18,0.72,0.14,0.78,0.14,0.8,0.06,0.92,0.05
58,58,"(0, 8)","(1, 1)",0.47,0.55,0.45,0.55,0.45,0.55,0.45,0.55,0.45,0.55
59,59,"(0, 3)","(8, 8)",0.58,0.03,0.97,0.81,0.7,0.34,0.6,0.18,0.8,0.66
60,60,"(4, 4)","(0, 9)",0.5,0.64,0.67,0.72,0.73,0.73,0.73,0.73,0.73,0.73
61,61,"(3, 7)","(2, 3)",0.51,0.54,0.59,0.47,0.38,0.55,0.48,0.5,0.61,0.38
62,62,"(1, 1)","(1, 2)",0.57,0.06,0.24,0.26,0.3,0.31,0.26,0.4,0.24,0.38
63,63,"(2, 4)","(5, 5)",0.55,0.35,0.37,0.49,0.37,0.33,0.49,0.42,0.54,0.36
64,64,"(2, 5)","(5, 7)",0.47,0.6,0.47,0.63,0.54,0.59,0.53,0.57,0.53,0.56
65,65,"(6, 7)","(1, 6)",0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42
66,66,"(2, 7)","(1, 3)",0.57,0.56,0.45,0.44,0.65,0.36,0.53,0.59,0.41,0.41
67,67,"(5, 9)","(9, 9)",0.47,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,68,"(0, 2)","(1, 9)",0.53,0.57,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58
69,69,"(0, 9)","(0, 6)",0.48,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
70,70,"(4, 8)","(3, 4)",0.55,0.66,0.38,0.41,0.38,0.33,0.32,0.29,0.16,0.06
71,71,"(3, 8)","(7, 8)",0.46,0.4,0.49,0.49,0.51,0.49,0.51,0.49,0.51,0.49
72,72,"(0, 3)","(7, 8)",0.43,0.28,0.65,0.46,0.42,0.49,0.44,0.45,0.51,0.36
73,73,"(1, 7)","(4, 8)",0.5,0.81,0.9,0.92,0.92,0.92,0.92,0.92,0.92,0.92
74,74,"(0, 7)","(4, 9)",0.47,0.79,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
75,75,"(0, 6)","(2, 4)",0.46,0.8,0.17,0.93,0.08,0.98,0.0,1.0,0.0,1.0
76,76,"(4, 6)","(3, 3)",0.47,0.44,0.39,0.28,0.16,0.08,0.03,0.0,0.0,0.0
77,77,"(7, 8)","(0, 5)",0.45,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44
78,78,"(5, 8)","(4, 7)",0.49,0.53,0.45,0.39,0.37,0.34,0.31,0.29,0.26,0.21
79,79,"(1, 4)","(3, 3)",0.4,0.51,0.41,0.33,0.58,0.35,0.45,0.45,0.5,0.36
80,80,"(2, 9)","(2, 5)",0.46,0.96,0.06,0.13,0.22,0.4,0.44,0.6,0.56,0.72
81,81,"(3, 5)","(2, 7)",0.55,0.87,0.64,0.77,0.68,0.76,0.7,0.74,0.7,0.74
82,82,"(1, 7)","(5, 6)",0.52,0.65,0.71,0.67,0.73,0.49,0.7,0.71,0.67,0.65
83,83,"(0, 0)","(1, 3)",0.52,0.17,0.31,0.28,0.28,0.32,0.3,0.32,0.3,0.32
84,84,"(9, 9)","(6, 6)",0.57,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,85,"(7, 8)","(7, 8)",0.57,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,86,"(0, 8)","(6, 8)",0.52,0.51,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
87,87,"(8, 9)","(3, 6)",0.57,0.55,0.53,0.52,0.52,0.52,0.52,0.52,0.52,0.52
88,88,"(1, 7)","(4, 9)",0.52,0.78,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94
89,89,"(0, 2)","(2, 8)",0.36,0.53,0.54,0.53,0.54,0.53,0.54,0.53,0.54,0.53
90,90,"(7, 8)","(4, 4)",0.53,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,91,"(1, 7)","(6, 9)",0.49,0.52,0.52,0.48,0.52,0.48,0.52,0.48,0.52,0.48
92,92,"(1, 4)","(5, 9)",0.5,0.42,0.56,0.56,0.45,0.6,0.56,0.56,0.62,0.55
93,93,"(1, 7)","(3, 5)",0.56,0.82,0.23,0.63,0.57,0.68,0.46,0.58,0.6,0.64
94,94,"(3, 7)","(6, 6)",0.49,0.49,0.52,0.48,0.52,0.48,0.52,0.48,0.52,0.48
95,95,"(7, 9)","(1, 9)",0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
96,96,"(0, 6)","(3, 8)",0.57,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91
97,97,"(1, 4)","(4, 5)",0.53,0.54,0.58,0.45,0.56,0.56,0.52,0.41,0.62,0.44
98,98,"(0, 3)","(1, 4)",0.48,0.55,0.44,0.61,0.37,0.66,0.32,0.71,0.27,0.76
99,99,"(4, 4)","(0, 0)",0.52,0.18,0.07,0.05,0.03,0.03,0.03,0.03,0.03,0.03
