,id,B,S,initial_state,iterations,file,density_evolution
0,<built-in function id>,"(0, 5)","(3, 3)","[[0 0 0 1 1 1 1 0 1 1]
 [0 1 0 1 0 1 0 1 0 0]
 [0 0 0 0 0 1 1 1 0 1]
 [1 1 1 0 1 0 1 0 0 1]
 [0 0 1 1 0 0 1 1 0 0]
 [0 0 0 0 1 1 0 1 0 1]
 [0 0 0 1 0 0 0 0 0 1]
 [1 1 1 0 1 1 0 0 0 1]
 [1 0 0 0 1 1 1 1 1 0]
 [0 1 1 0 1 1 1 0 0 1]]",10,./data/datasets/BISI/dataset11_chaotic/individuals/ca_<built-in function id>_k0_n0,"[0.48, 0.61, 0.34, 0.67, 0.32, 0.69, 0.3, 0.72, 0.28, 0.73]"
1,<built-in function id>,"(0, 5)","(3, 3)","[[0 0 1 1 1 1 1 0 1 1]
 [0 1 0 1 0 1 0 1 0 0]
 [0 0 0 0 0 1 1 1 0 1]
 [1 1 1 1 1 0 1 0 1 1]
 [1 0 1 1 0 0 1 1 0 0]
 [0 0 0 0 1 1 0 1 0 1]
 [0 0 0 1 0 1 0 0 0 1]
 [1 1 1 0 1 1 0 0 0 1]
 [1 0 0 0 0 1 1 1 0 0]
 [0 1 1 0 1 1 1 0 0 0]]",10,./data/datasets/BISI/dataset11_chaotic/individuals/ca_<built-in function id>_k0_n1,"[0.5, 0.55, 0.42, 0.62, 0.37, 0.66, 0.34, 0.69, 0.31, 0.73]"
2,<built-in function id>,"(0, 5)","(3, 3)","[[0 0 1 1 1 1 1 0 1 1]
 [0 1 0 1 0 1 1 1 0 0]
 [0 0 0 0 0 1 1 1 0 1]
 [1 1 1 1 1 0 1 0 0 0]
 [0 0 1 1 0 0 1 1 0 0]
 [0 0 0 0 0 1 0 1 0 1]
 [1 0 0 1 0 0 0 0 0 1]
 [1 1 1 0 1 1 0 0 0 1]
 [0 0 0 0 0 1 1 1 0 0]
 [0 1 1 0 1 1 1 0 1 1]]",10,./data/datasets/BISI/dataset11_chaotic/individuals/ca_<built-in function id>_k0_n2,"[0.48, 0.61, 0.3, 0.75, 0.21, 0.81, 0.19, 0.81, 0.19, 0.81]"
3,<built-in function id>,"(0, 5)","(3, 3)","[[0 0 1 1 1 1 1 0 1 1]
 [0 1 0 1 0 1 0 1 0 0]
 [0 0 0 0 0 1 1 1 0 1]
 [1 1 1 1 1 0 1 0 0 1]
 [0 0 1 1 0 0 1 1 0 0]
 [0 0 1 0 1 1 0 1 0 1]
 [0 0 0 1 0 0 0 0 0 1]
 [1 1 1 0 1 1 0 0 1 1]
 [0 0 0 0 0 1 1 1 0 0]
 [0 1 1 0 1 1 1 0 0 0]]",10,./data/datasets/BISI/dataset11_chaotic/individuals/ca_<built-in function id>_k0_n3,"[0.48, 0.65, 0.23, 0.83, 0.15, 0.87, 0.13, 0.88, 0.12, 0.88]"
4,<built-in function id>,"(0, 5)","(3, 3)","[[0 0 1 1 1 1 1 0 1 1]
 [0 1 1 1 0 1 0 1 0 0]
 [0 0 0 0 0 1 1 1 0 1]
 [1 1 1 1 1 0 0 0 0 1]
 [0 0 1 1 0 0 1 1 0 0]
 [0 0 0 0 1 1 0 1 0 1]
 [0 0 0 0 0 0 0 0 0 1]
 [1 1 1 0 1 1 0 0 0 1]
 [0 0 0 1 0 1 0 1 0 0]
 [0 1 1 0 1 1 1 0 0 1]]",10,./data/datasets/BISI/dataset11_chaotic/individuals/ca_<built-in function id>_k0_n4,"[0.46, 0.58, 0.29, 0.74, 0.27, 0.76, 0.24, 0.78, 0.22, 0.78]"
5,<built-in function id>,"(0, 5)","(3, 3)","[[0 0 1 1 1 1 1 0 0 1]
 [0 1 0 1 0 1 0 1 0 0]
 [0 0 0 0 0 1 1 1 0 1]
 [1 1 1 1 1 0 1 0 0 1]
 [0 0 1 0 0 0 1 1 0 0]
 [0 0 0 0 1 1 1 1 0 1]
 [0 0 0 1 0 0 0 0 0 1]
 [1 1 1 0 1 0 0 0 0 1]
 [0 0 1 0 0 1 1 1 0 0]
 [0 1 1 0 1 1 1 0 0 1]]",10,./data/datasets/BISI/dataset11_chaotic/individuals/ca_<built-in function id>_k0_n5,"[0.46, 0.65, 0.25, 0.81, 0.18, 0.83, 0.16, 0.86, 0.14, 0.87]"
6,<built-in function id>,"(0, 5)","(3, 3)","[[0 0 1 1 1 1 1 0 1 1]
 [0 1 0 1 0 1 0 1 0 0]
 [0 0 0 0 0 1 1 1 0 1]
 [1 1 1 1 1 0 1 1 0 1]
 [0 0 1 1 0 0 1 1 0 1]
 [0 0 0 1 1 1 0 1 0 1]
 [0 0 0 1 0 0 0 0 0 1]
 [1 1 1 1 1 1 0 0 0 1]
 [0 0 0 0 0 1 1 1 0 0]
 [0 1 1 0 1 0 1 0 0 1]]",10,./data/datasets/BISI/dataset11_chaotic/individuals/ca_<built-in function id>_k0_n6,"[0.5, 0.55, 0.38, 0.65, 0.34, 0.7, 0.3, 0.73, 0.27, 0.75]"
7,<built-in function id>,"(0, 5)","(3, 3)","[[0 0 1 1 1 1 1 0 1 1]
 [0 1 0 1 0 1 0 1 0 0]
 [0 0 0 0 0 0 1 1 0 1]
 [1 1 1 1 1 0 1 1 0 1]
 [0 0 1 1 0 0 1 1 0 0]
 [0 0 0 0 1 1 0 1 0 1]
 [0 0 0 1 0 0 0 0 0 1]
 [1 1 1 0 1 1 0 1 0 1]
 [0 0 0 0 0 1 1 1 0 0]
 [0 1 1 1 1 1 1 0 0 0]]",10,./data/datasets/BISI/dataset11_chaotic/individuals/ca_<built-in function id>_k0_n7,"[0.48, 0.6, 0.34, 0.75, 0.26, 0.76, 0.24, 0.78, 0.22, 0.78]"
8,<built-in function id>,"(0, 5)","(3, 3)","[[0 0 1 1 1 1 1 0 1 1]
 [0 1 1 1 0 0 0 1 0 0]
 [0 0 0 0 1 1 1 1 1 1]
 [1 1 1 1 1 0 1 0 0 1]
 [0 0 1 1 0 0 1 1 0 0]
 [0 0 0 0 1 1 0 1 0 1]
 [0 0 0 1 0 0 0 0 0 1]
 [1 1 1 0 1 1 0 0 0 1]
 [1 0 0 0 0 1 1 1 0 0]
 [0 1 1 0 1 1 1 0 0 1]]",10,./data/datasets/BISI/dataset11_chaotic/individuals/ca_<built-in function id>_k0_n8,"[0.5, 0.57, 0.38, 0.65, 0.34, 0.68, 0.32, 0.68, 0.32, 0.68]"
9,<built-in function id>,"(0, 5)","(3, 3)","[[0 0 1 0 1 1 1 0 1 1]
 [0 1 0 1 0 1 0 1 1 0]
 [0 0 0 0 0 1 1 1 0 1]
 [1 1 1 1 1 0 1 0 0 1]
 [0 0 1 1 0 0 1 1 0 0]
 [1 1 0 0 1 1 0 1 0 1]
 [0 0 0 1 0 0 0 0 0 1]
 [1 1 1 0 1 1 0 0 0 1]
 [0 0 0 0 0 1 1 1 1 0]
 [0 1 1 0 1 1 1 0 0 1]]",10,./data/datasets/BISI/dataset11_chaotic/individuals/ca_<built-in function id>_k0_n9,"[0.5, 0.61, 0.31, 0.73, 0.22, 0.8, 0.17, 0.84, 0.16, 0.84]"
