,id,B,S,Bl,Bt,Sl,St,0,1,2,3,4,5,6,7,8,9
0,0,"(0, 5)","(3, 3)",0,5,3,3,0.53,0.53,0.47,0.55,0.47,0.54,0.47,0.54,0.47,0.53
1,1,"(7, 9)","(3, 5)",7,9,3,5,0.47,0.39,0.28,0.21,0.18,0.15,0.1,0.08,0.05,0.03
2,2,"(2, 4)","(6, 7)",2,4,6,7,0.47,0.4,0.4,0.31,0.51,0.22,0.26,0.45,0.26,0.35
3,3,"(8, 8)","(1, 6)",8,8,1,6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
4,4,"(7, 7)","(1, 8)",7,7,1,8,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44
5,5,"(5, 9)","(8, 9)",5,9,8,9,0.54,0.27,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,"(3, 4)","(0, 3)",3,4,0,3,0.39,0.64,0.25,0.29,0.32,0.38,0.41,0.36,0.35,0.44
7,7,"(0, 5)","(2, 3)",0,5,2,3,0.44,0.74,0.21,0.91,0.04,1.0,0.0,1.0,0.0,1.0
8,8,"(1, 8)","(3, 3)",1,8,3,3,0.47,0.67,0.37,0.63,0.39,0.64,0.37,0.68,0.34,0.67
9,9,"(3, 7)","(0, 1)",3,7,0,1,0.52,0.44,0.46,0.59,0.4,0.44,0.44,0.52,0.43,0.48
10,10,"(9, 9)","(0, 4)",9,9,0,4,0.53,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
11,11,"(3, 7)","(2, 7)",3,7,2,7,0.49,0.89,0.39,0.58,0.66,0.8,0.64,0.78,0.68,0.63
12,12,"(0, 2)","(0, 4)",0,2,0,4,0.48,0.4,0.5,0.48,0.48,0.48,0.48,0.48,0.48,0.48
13,13,"(5, 5)","(6, 8)",5,5,6,8,0.48,0.16,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,"(1, 4)","(4, 9)",1,4,4,9,0.5,0.58,0.68,0.73,0.8,0.8,0.8,0.8,0.8,0.8
15,15,"(1, 8)","(1, 7)",1,8,1,7,0.58,0.99,0.09,0.24,0.49,0.56,0.91,0.24,0.49,0.56
16,16,"(9, 9)","(3, 6)",9,9,3,6,0.55,0.48,0.46,0.45,0.45,0.45,0.45,0.45,0.45,0.45
17,17,"(2, 7)","(0, 3)",2,7,0,3,0.48,0.75,0.24,0.41,0.5,0.66,0.33,0.41,0.53,0.49
18,18,"(5, 9)","(4, 4)",5,9,4,4,0.42,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,19,"(4, 6)","(3, 4)",4,6,3,4,0.44,0.53,0.29,0.28,0.18,0.12,0.11,0.08,0.08,0.04
20,20,"(4, 4)","(4, 8)",4,4,4,8,0.44,0.38,0.29,0.29,0.29,0.29,0.31,0.32,0.34,0.36
21,21,"(3, 7)","(5, 5)",3,7,5,5,0.47,0.53,0.56,0.56,0.5,0.47,0.53,0.5,0.51,0.48
22,22,"(0, 1)","(5, 9)",0,1,5,9,0.45,0.14,0.64,0.69,0.61,0.66,0.6,0.57,0.59,0.57
23,23,"(0, 3)","(0, 5)",0,3,0,5,0.55,0.52,0.54,0.49,0.54,0.5,0.52,0.52,0.52,0.52
24,24,"(1, 2)","(2, 4)",1,2,2,4,0.48,0.39,0.38,0.49,0.38,0.5,0.38,0.49,0.42,0.43
25,25,"(0, 3)","(0, 2)",0,3,0,2,0.49,0.27,0.74,0.18,0.81,0.13,0.86,0.07,0.93,0.02
26,26,"(5, 7)","(0, 9)",5,7,0,9,0.46,0.58,0.65,0.71,0.76,0.83,0.89,0.91,0.94,0.97
27,27,"(2, 7)","(2, 9)",2,7,2,9,0.5,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
28,28,"(2, 3)","(2, 3)",2,3,2,3,0.43,0.5,0.31,0.58,0.2,0.25,0.44,0.34,0.39,0.54
29,29,"(3, 4)","(1, 2)",3,4,1,2,0.47,0.45,0.22,0.25,0.25,0.27,0.27,0.35,0.26,0.38
30,30,"(1, 9)","(4, 6)",1,9,4,6,0.59,0.85,0.39,0.68,0.82,0.51,0.78,0.64,0.69,0.69
