,id,B,S,size,density,iterations,file,density_evolution
0,0,"(0, 5)","(3, 3)",10,0.8472517387841254,10,./data/datasets/BISI/dataset13/individuals/ca_0,"[0.86, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]"
1,1,"(3, 5)","(2, 4)",10,0.2975346065444723,10,./data/datasets/BISI/dataset13/individuals/ca_1,"[0.24, 0.34, 0.29, 0.53, 0.38, 0.6, 0.34, 0.46, 0.39, 0.6]"
2,2,"(8, 8)","(1, 6)",10,0.8121687287754932,10,./data/datasets/BISI/dataset13/individuals/ca_2,"[0.76, 0.59, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57]"
3,3,"(1, 8)","(5, 9)",10,0.07103605819788694,10,./data/datasets/BISI/dataset13/individuals/ca_3,"[0.09, 0.48, 0.7, 0.85, 0.95, 0.99, 1.0, 1.0, 1.0, 1.0]"
4,4,"(4, 9)","(0, 3)",10,0.832619845547938,10,./data/datasets/BISI/dataset13/individuals/ca_4,"[0.87, 0.13, 0.14, 0.14, 0.13, 0.13, 0.14, 0.14, 0.13, 0.13]"
5,5,"(0, 2)","(3, 8)",10,0.8009107519796442,10,./data/datasets/BISI/dataset13/individuals/ca_5,"[0.83, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83]"
6,6,"(3, 3)","(0, 7)",10,0.5820197920751071,10,./data/datasets/BISI/dataset13/individuals/ca_6,"[0.65, 0.68, 0.68, 0.68, 0.68, 0.68, 0.68, 0.68, 0.68, 0.68]"
7,7,"(0, 9)","(4, 7)",10,0.26455561210462697,10,./data/datasets/BISI/dataset13/individuals/ca_7,"[0.26, 0.78, 0.97, 0.27, 0.89, 0.52, 0.82, 0.72, 0.78, 0.71]"
8,8,"(2, 7)","(0, 2)",10,0.018789800436355142,10,./data/datasets/BISI/dataset13/individuals/ca_8,"[0.03, 0.05, 0.09, 0.26, 0.18, 0.51, 0.27, 0.8, 0.2, 0.49]"
9,9,"(5, 5)","(6, 8)",10,0.6169339968747569,10,./data/datasets/BISI/dataset13/individuals/ca_9,"[0.61, 0.27, 0.05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
10,10,"(4, 9)","(1, 8)",10,0.6976311959272649,10,./data/datasets/BISI/dataset13/individuals/ca_10,"[0.68, 0.99, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
11,11,"(9, 9)","(3, 6)",10,0.6706378696181594,10,./data/datasets/BISI/dataset13/individuals/ca_11,"[0.69, 0.5, 0.43, 0.38, 0.37, 0.36, 0.36, 0.36, 0.36, 0.36]"
12,12,"(0, 2)","(3, 5)",10,0.3250472290083525,10,./data/datasets/BISI/dataset13/individuals/ca_12,"[0.29, 0.48, 0.42, 0.42, 0.49, 0.44, 0.51, 0.52, 0.48, 0.51]"
13,13,"(4, 4)","(4, 6)",10,0.6527903170054908,10,./data/datasets/BISI/dataset13/individuals/ca_13,"[0.68, 0.52, 0.47, 0.43, 0.39, 0.27, 0.2, 0.12, 0.07, 0.02]"
14,14,"(3, 4)","(4, 4)",10,0.2532916025397821,10,./data/datasets/BISI/dataset13/individuals/ca_14,"[0.26, 0.3, 0.26, 0.28, 0.26, 0.25, 0.3, 0.23, 0.19, 0.2]"
15,15,"(3, 4)","(5, 7)",10,0.6563295894652734,10,./data/datasets/BISI/dataset13/individuals/ca_15,"[0.62, 0.36, 0.26, 0.22, 0.18, 0.18, 0.14, 0.12, 0.12, 0.12]"
16,16,"(1, 5)","(3, 9)",10,0.3687251706609641,10,./data/datasets/BISI/dataset13/individuals/ca_16,"[0.4, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87]"
