,id,B,S,B0,B1,B2,B3,B4,B5,B6,B7,B8,S0,S1,S2,S3,S4,S5,S6,S7,S8,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,0,[4 0 2 5 6],[],1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.78,0.15,0.57,0.29,0.41,0.4,0.4,0.32,0.38,0.41,0.4,0.43,0.41,0.46,0.45,0.45,0.44,0.46,0.46,0.46,0.47,0.49,0.48,0.49,0.48,0.49,0.48,0.49,0.48,0.49
1,1,[2 4 3 6 7 0 8 1],[4],1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0.62,0.33,0.64,0.38,0.67,0.37,0.7,0.3,0.75,0.27,0.73,0.3,0.76,0.27,0.76,0.24,0.81,0.2,0.84,0.16,0.87,0.15,0.87,0.1,0.9,0.1,0.9,0.1,0.9,0.1
2,2,[5 4 2],[1 4 0 5 2 8 6],0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,1,0,1,0.06,0.14,0.21,0.38,0.49,0.61,0.73,0.61,0.61,0.66,0.69,0.63,0.65,0.68,0.64,0.7,0.7,0.65,0.69,0.69,0.66,0.64,0.71,0.71,0.67,0.71,0.7,0.71,0.68,0.69
3,3,[2 8 7 3],[0 4 2 3 5],0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0.17,0.39,0.58,0.58,0.48,0.55,0.59,0.58,0.54,0.61,0.61,0.54,0.56,0.56,0.53,0.53,0.54,0.57,0.58,0.57,0.58,0.54,0.55,0.53,0.53,0.53,0.53,0.53,0.53,0.53
4,4,[7 6],[],0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.38,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,[4 2 3 1],[4 8 6],0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.98,0.84,0.83,0.47,0.63,0.3,0.76,0.49,0.54,0.58,0.44,0.45,0.67,0.35,0.7,0.42,0.67,0.55,0.6,0.36,0.65,0.42,0.6,0.33,0.6,0.53,0.62,0.51,0.47,0.64
6,6,[4 6 3],[0 5],0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0.2,0.15,0.12,0.12,0.12,0.12,0.11,0.09,0.07,0.05,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
7,7,[6 4 0],[1 4 8 5],1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0.87,0.31,0.28,0.26,0.34,0.27,0.28,0.24,0.34,0.36,0.37,0.33,0.19,0.25,0.33,0.34,0.29,0.24,0.34,0.28,0.22,0.31,0.3,0.32,0.26,0.29,0.28,0.25,0.28,0.33
8,8,[6 8 2 1 5 7],[1 8 7],0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0.58,0.3,0.53,0.41,0.35,0.38,0.44,0.26,0.56,0.33,0.42,0.38,0.32,0.39,0.39,0.4,0.29,0.57,0.41,0.34,0.38,0.35,0.35,0.38,0.33,0.47,0.46,0.29,0.43,0.35
9,9,[7 1 2 8],[2 4 3],0,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0.44,0.43,0.36,0.41,0.4,0.45,0.42,0.48,0.43,0.47,0.46,0.44,0.48,0.47,0.44,0.41,0.46,0.49,0.5,0.44,0.49,0.5,0.48,0.45,0.49,0.49,0.49,0.49,0.49,0.49
