,id,B,S,size,density,iterations,file,density_evolution
0,0,5,0,10,0.5,10,./data/datasets/BTST/dataset3/individuals/ca_0,"[0.49, 0.66, 0.79, 0.85, 0.89, 0.91, 0.93, 0.96, 1.0, 1.0]"
1,1,3,3,10,0.5,10,./data/datasets/BTST/dataset3/individuals/ca_1,"[0.52, 0.93, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
2,2,7,9,10,0.5,10,./data/datasets/BTST/dataset3/individuals/ca_2,"[0.51, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
3,3,3,5,10,0.5,10,./data/datasets/BTST/dataset3/individuals/ca_3,"[0.46, 0.61, 0.69, 0.79, 0.85, 0.91, 0.97, 1.0, 1.0, 1.0]"
4,4,2,4,10,0.5,10,./data/datasets/BTST/dataset3/individuals/ca_4,"[0.51, 0.78, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
5,5,7,6,10,0.5,10,./data/datasets/BTST/dataset3/individuals/ca_5,"[0.51, 0.04, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
6,6,8,8,10,0.5,10,./data/datasets/BTST/dataset3/individuals/ca_6,"[0.46, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
7,7,1,6,10,0.5,10,./data/datasets/BTST/dataset3/individuals/ca_7,"[0.43, 0.64, 0.57, 0.53, 0.47, 0.53, 0.47, 0.53, 0.47, 0.53]"
8,8,7,7,10,0.5,10,./data/datasets/BTST/dataset3/individuals/ca_8,"[0.59, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
9,9,8,1,10,0.5,10,./data/datasets/BTST/dataset3/individuals/ca_9,"[0.55, 0.55, 0.55, 0.55, 0.55, 0.55, 0.55, 0.55, 0.55, 0.55]"
10,10,5,9,10,0.5,10,./data/datasets/BTST/dataset3/individuals/ca_10,"[0.45, 0.15, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
11,11,8,9,10,0.5,10,./data/datasets/BTST/dataset3/individuals/ca_11,"[0.49, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
12,12,4,3,10,0.5,10,./data/datasets/BTST/dataset3/individuals/ca_12,"[0.45, 0.69, 0.85, 0.91, 0.96, 1.0, 1.0, 1.0, 1.0, 1.0]"
13,13,0,3,10,0.5,10,./data/datasets/BTST/dataset3/individuals/ca_13,"[0.51, 0.92, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
14,14,5,0,10,0.5,10,./data/datasets/BTST/dataset3/individuals/ca_14,"[0.53, 0.71, 0.88, 0.98, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
15,15,2,3,10,0.5,10,./data/datasets/BTST/dataset3/individuals/ca_15,"[0.52, 0.97, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
16,16,8,1,10,0.5,10,./data/datasets/BTST/dataset3/individuals/ca_16,"[0.43, 0.43, 0.43, 0.43, 0.43, 0.43, 0.43, 0.43, 0.43, 0.43]"
17,17,3,3,10,0.5,10,./data/datasets/BTST/dataset3/individuals/ca_17,"[0.52, 0.9, 0.99, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
18,18,3,7,10,0.5,10,./data/datasets/BTST/dataset3/individuals/ca_18,"[0.46, 0.48, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
19,19,0,1,10,0.5,10,./data/datasets/BTST/dataset3/individuals/ca_19,"[0.52, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
20,20,9,9,10,0.5,10,./data/datasets/BTST/dataset3/individuals/ca_20,"[0.46, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
21,21,0,4,10,0.5,10,./data/datasets/BTST/dataset3/individuals/ca_21,"[0.47, 0.78, 0.99, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
22,22,7,3,10,0.5,10,./data/datasets/BTST/dataset3/individuals/ca_22,"[0.49, 0.44, 0.41, 0.39, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38]"
23,23,2,7,10,0.5,10,./data/datasets/BTST/dataset3/individuals/ca_23,"[0.53, 0.48, 0.52, 0.48, 0.52, 0.48, 0.52, 0.48, 0.52, 0.48]"
24,24,2,0,10,0.5,10,./data/datasets/BTST/dataset3/individuals/ca_24,"[0.56, 0.98, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
25,25,0,4,10,0.5,10,./data/datasets/BTST/dataset3/individuals/ca_25,"[0.46, 0.83, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
26,26,5,5,10,0.5,10,./data/datasets/BTST/dataset3/individuals/ca_26,"[0.45, 0.27, 0.1, 0.03, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
27,27,6,8,10,0.5,10,./data/datasets/BTST/dataset3/individuals/ca_27,"[0.48, 0.03, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
28,28,4,1,10,0.5,10,./data/datasets/BTST/dataset3/individuals/ca_28,"[0.5, 0.79, 0.95, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
29,29,4,9,10,0.5,10,./data/datasets/BTST/dataset3/individuals/ca_29,"[0.56, 0.33, 0.16, 0.13, 0.08, 0.03, 0.0, 0.0, 0.0, 0.0]"
30,30,8,1,10,0.5,10,./data/datasets/BTST/dataset3/individuals/ca_30,"[0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51]"
31,31,1,7,10,0.5,10,./data/datasets/BTST/dataset3/individuals/ca_31,"[0.51, 0.48, 0.52, 0.48, 0.52, 0.48, 0.52, 0.48, 0.52, 0.48]"
