,id,B,S,0,1,2,3,4,5,6,7,8,9
0,0,5,0,0.63,0.89,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1,3,7,0.4,0.41,0.46,0.48,0.51,0.49,0.51,0.49,0.51,0.49
2,2,5,2,0.39,0.35,0.36,0.37,0.38,0.38,0.38,0.38,0.38,0.38
3,3,6,8,0.95,0.71,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0
4,4,1,6,0.79,0.83,0.82,0.82,0.81,0.82,0.81,0.82,0.81,0.82
5,5,8,1,0.9,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
6,6,8,9,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,0,3,0.93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,8,0,2,0.45,0.97,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,9,1,3,0.58,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,10,3,7,0.61,0.44,0.49,0.51,0.49,0.51,0.49,0.51,0.49,0.51
11,11,9,9,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12,4,7,0.34,0.17,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0
13,13,2,7,0.25,0.47,0.53,0.47,0.53,0.47,0.53,0.47,0.53,0.47
14,14,0,0,0.34,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,15,5,6,0.31,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16,1,4,0.7,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,17,8,1,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62
18,18,9,9,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,19,7,2,0.18,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
20,20,3,5,0.45,0.58,0.67,0.69,0.76,0.81,0.88,0.93,1.0,1.0
21,21,4,4,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,22,4,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,23,4,8,0.38,0.25,0.16,0.06,0.01,0.0,0.0,0.0,0.0,0.0
24,24,4,3,0.64,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,25,5,5,0.3,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,26,5,9,0.95,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,27,5,0,0.67,0.91,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,28,4,2,0.97,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,29,3,2,0.52,0.97,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,30,0,7,0.45,0.55,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
31,31,0,2,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32,32,7,2,0.67,0.73,0.76,0.78,0.8,0.82,0.83,0.83,0.83,0.83
33,33,3,3,0.71,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
34,34,3,4,0.35,0.47,0.67,0.85,0.96,1.0,1.0,1.0,1.0,1.0
35,35,9,1,0.12,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
36,36,6,8,0.65,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,37,3,0,0.71,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
38,38,0,6,0.2,0.8,0.88,0.88,0.89,0.89,0.88,0.88,0.88,0.88
39,39,3,8,0.08,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,40,8,2,0.32,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26
41,41,2,0,0.24,0.69,0.92,1.0,1.0,1.0,1.0,1.0,1.0,1.0
42,42,3,8,0.91,0.55,0.48,0.49,0.51,0.49,0.51,0.49,0.51,0.49
43,43,8,4,0.89,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92
44,44,0,4,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
45,45,6,9,0.46,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,46,8,0,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54
47,47,5,9,0.61,0.28,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,48,9,6,0.6,0.12,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,49,3,1,0.4,0.82,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,50,4,9,0.4,0.28,0.2,0.14,0.07,0.02,0.0,0.0,0.0,0.0
51,51,7,8,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,52,9,2,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
53,53,6,9,0.63,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,54,6,8,0.59,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,55,3,2,0.91,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
56,56,6,3,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
57,57,5,7,0.41,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,58,8,4,0.68,0.67,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65
59,59,5,8,0.21,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,60,3,9,0.09,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,61,3,4,0.41,0.55,0.72,0.85,0.94,1.0,1.0,1.0,1.0,1.0
62,62,3,3,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,63,9,9,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,64,2,3,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
65,65,7,7,0.95,0.95,0.89,0.76,0.59,0.37,0.16,0.06,0.0,0.0
66,66,1,2,0.53,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
67,67,1,5,0.19,0.63,0.7,0.77,0.82,0.89,0.96,1.0,1.0,1.0
68,68,4,0,0.81,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
69,69,5,5,0.97,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
70,70,8,1,0.76,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
