,id,B,S,size,density,iterations,file,density_evolution
0,0,0,0,10,0.5,10,./data/dataset4/individuals/ca_pair_0_0,"[0.51, 0.49, 0.51, 0.49, 0.51, 0.49, 0.51, 0.49, 0.51, 0.49]"
1,1,0,0,10,0.5,10,./data/dataset4/individuals/ca_pair_0_1,"[0.43, 0.57, 0.43, 0.57, 0.43, 0.57, 0.43, 0.57, 0.43, 0.57]"
2,2,0,0,10,0.5,10,./data/dataset4/individuals/ca_pair_0_2,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
3,3,0,0,10,0.5,10,./data/dataset4/individuals/ca_pair_0_3,"[0.55, 0.45, 0.55, 0.45, 0.55, 0.45, 0.55, 0.45, 0.55, 0.45]"
4,4,0,0,10,0.5,10,./data/dataset4/individuals/ca_pair_0_4,"[0.55, 0.45, 0.55, 0.45, 0.55, 0.45, 0.55, 0.45, 0.55, 0.45]"
5,5,0,0,10,0.5,10,./data/dataset4/individuals/ca_pair_0_5,"[0.47, 0.53, 0.47, 0.53, 0.47, 0.53, 0.47, 0.53, 0.47, 0.53]"
6,6,0,0,10,0.5,10,./data/dataset4/individuals/ca_pair_0_6,"[0.53, 0.47, 0.53, 0.47, 0.53, 0.47, 0.53, 0.47, 0.53, 0.47]"
7,7,0,0,10,0.5,10,./data/dataset4/individuals/ca_pair_0_7,"[0.59, 0.41, 0.59, 0.41, 0.59, 0.41, 0.59, 0.41, 0.59, 0.41]"
8,8,0,0,10,0.5,10,./data/dataset4/individuals/ca_pair_0_8,"[0.52, 0.48, 0.52, 0.48, 0.52, 0.48, 0.52, 0.48, 0.52, 0.48]"
9,9,0,0,10,0.5,10,./data/dataset4/individuals/ca_pair_0_9,"[0.52, 0.48, 0.52, 0.48, 0.52, 0.48, 0.52, 0.48, 0.52, 0.48]"
10,10,0,0,10,0.5,10,./data/dataset4/individuals/ca_pair_0_10,"[0.51, 0.49, 0.51, 0.49, 0.51, 0.49, 0.51, 0.49, 0.51, 0.49]"
11,11,0,0,10,0.5,10,./data/dataset4/individuals/ca_pair_0_11,"[0.51, 0.49, 0.51, 0.49, 0.51, 0.49, 0.51, 0.49, 0.51, 0.49]"
12,12,0,0,10,0.5,10,./data/dataset4/individuals/ca_pair_0_12,"[0.46, 0.54, 0.46, 0.54, 0.46, 0.54, 0.46, 0.54, 0.46, 0.54]"
13,13,0,0,10,0.5,10,./data/dataset4/individuals/ca_pair_0_13,"[0.4, 0.6, 0.4, 0.6, 0.4, 0.6, 0.4, 0.6, 0.4, 0.6]"
14,14,0,0,10,0.5,10,./data/dataset4/individuals/ca_pair_0_14,"[0.53, 0.47, 0.53, 0.47, 0.53, 0.47, 0.53, 0.47, 0.53, 0.47]"
15,15,0,0,10,0.5,10,./data/dataset4/individuals/ca_pair_0_15,"[0.42, 0.58, 0.42, 0.58, 0.42, 0.58, 0.42, 0.58, 0.42, 0.58]"
16,16,0,0,10,0.5,10,./data/dataset4/individuals/ca_pair_0_16,"[0.48, 0.52, 0.48, 0.52, 0.48, 0.52, 0.48, 0.52, 0.48, 0.52]"
17,17,0,0,10,0.5,10,./data/dataset4/individuals/ca_pair_0_17,"[0.54, 0.46, 0.54, 0.46, 0.54, 0.46, 0.54, 0.46, 0.54, 0.46]"
18,18,0,0,10,0.5,10,./data/dataset4/individuals/ca_pair_0_18,"[0.48, 0.52, 0.48, 0.52, 0.48, 0.52, 0.48, 0.52, 0.48, 0.52]"
19,19,0,0,10,0.5,10,./data/dataset4/individuals/ca_pair_0_19,"[0.48, 0.52, 0.48, 0.52, 0.48, 0.52, 0.48, 0.52, 0.48, 0.52]"
20,20,0,0,10,0.5,10,./data/dataset4/individuals/ca_pair_0_20,"[0.55, 0.45, 0.55, 0.45, 0.55, 0.45, 0.55, 0.45, 0.55, 0.45]"
21,21,0,0,10,0.5,10,./data/dataset4/individuals/ca_pair_0_21,"[0.44, 0.56, 0.44, 0.56, 0.44, 0.56, 0.44, 0.56, 0.44, 0.56]"
22,22,0,0,10,0.5,10,./data/dataset4/individuals/ca_pair_0_22,"[0.46, 0.54, 0.46, 0.54, 0.46, 0.54, 0.46, 0.54, 0.46, 0.54]"
23,23,0,0,10,0.5,10,./data/dataset4/individuals/ca_pair_0_23,"[0.55, 0.45, 0.55, 0.45, 0.55, 0.45, 0.55, 0.45, 0.55, 0.45]"
24,24,0,0,10,0.5,10,./data/dataset4/individuals/ca_pair_0_24,"[0.48, 0.52, 0.48, 0.52, 0.48, 0.52, 0.48, 0.52, 0.48, 0.52]"
25,25,0,0,10,0.5,10,./data/dataset4/individuals/ca_pair_0_25,"[0.47, 0.53, 0.47, 0.53, 0.47, 0.53, 0.47, 0.53, 0.47, 0.53]"
26,26,0,0,10,0.5,10,./data/dataset4/individuals/ca_pair_0_26,"[0.41, 0.59, 0.41, 0.59, 0.41, 0.59, 0.41, 0.59, 0.41, 0.59]"
27,27,0,0,10,0.5,10,./data/dataset4/individuals/ca_pair_0_27,"[0.57, 0.43, 0.57, 0.43, 0.57, 0.43, 0.57, 0.43, 0.57, 0.43]"
28,28,0,0,10,0.5,10,./data/dataset4/individuals/ca_pair_0_28,"[0.53, 0.47, 0.53, 0.47, 0.53, 0.47, 0.53, 0.47, 0.53, 0.47]"
29,29,0,0,10,0.5,10,./data/dataset4/individuals/ca_pair_0_29,"[0.53, 0.47, 0.53, 0.47, 0.53, 0.47, 0.53, 0.47, 0.53, 0.47]"
30,0,0,1,10,0.5,10,./data/dataset4/individuals/ca_pair_1_0,"[0.51, 0.49, 0.51, 0.49, 0.51, 0.49, 0.51, 0.49, 0.51, 0.49]"
31,1,0,1,10,0.5,10,./data/dataset4/individuals/ca_pair_1_1,"[0.49, 0.51, 0.49, 0.51, 0.49, 0.51, 0.49, 0.51, 0.49, 0.51]"
32,2,0,1,10,0.5,10,./data/dataset4/individuals/ca_pair_1_2,"[0.52, 0.48, 0.52, 0.48, 0.52, 0.48, 0.52, 0.48, 0.52, 0.48]"
33,3,0,1,10,0.5,10,./data/dataset4/individuals/ca_pair_1_3,"[0.48, 0.52, 0.48, 0.52, 0.48, 0.52, 0.48, 0.52, 0.48, 0.52]"
34,4,0,1,10,0.5,10,./data/dataset4/individuals/ca_pair_1_4,"[0.56, 0.44, 0.56, 0.44, 0.56, 0.44, 0.56, 0.44, 0.56, 0.44]"
35,5,0,1,10,0.5,10,./data/dataset4/individuals/ca_pair_1_5,"[0.53, 0.47, 0.53, 0.47, 0.53, 0.47, 0.53, 0.47, 0.53, 0.47]"
36,6,0,1,10,0.5,10,./data/dataset4/individuals/ca_pair_1_6,"[0.53, 0.48, 0.52, 0.48, 0.52, 0.48, 0.52, 0.48, 0.52, 0.48]"
37,7,0,1,10,0.5,10,./data/dataset4/individuals/ca_pair_1_7,"[0.53, 0.47, 0.53, 0.47, 0.53, 0.47, 0.53, 0.47, 0.53, 0.47]"
38,8,0,1,10,0.5,10,./data/dataset4/individuals/ca_pair_1_8,"[0.54, 0.46, 0.55, 0.45, 0.55, 0.45, 0.55, 0.45, 0.55, 0.45]"
39,9,0,1,10,0.5,10,./data/dataset4/individuals/ca_pair_1_9,"[0.64, 0.36, 0.64, 0.36, 0.64, 0.36, 0.64, 0.36, 0.64, 0.36]"
40,10,0,1,10,0.5,10,./data/dataset4/individuals/ca_pair_1_10,"[0.53, 0.47, 0.54, 0.46, 0.54, 0.46, 0.54, 0.46, 0.54, 0.46]"
41,11,0,1,10,0.5,10,./data/dataset4/individuals/ca_pair_1_11,"[0.47, 0.53, 0.47, 0.53, 0.47, 0.53, 0.47, 0.53, 0.47, 0.53]"
42,12,0,1,10,0.5,10,./data/dataset4/individuals/ca_pair_1_12,"[0.47, 0.53, 0.47, 0.53, 0.47, 0.53, 0.47, 0.53, 0.47, 0.53]"
43,13,0,1,10,0.5,10,./data/dataset4/individuals/ca_pair_1_13,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
44,14,0,1,10,0.5,10,./data/dataset4/individuals/ca_pair_1_14,"[0.49, 0.52, 0.48, 0.52, 0.48, 0.52, 0.48, 0.52, 0.48, 0.52]"
45,15,0,1,10,0.5,10,./data/dataset4/individuals/ca_pair_1_15,"[0.51, 0.49, 0.51, 0.49, 0.51, 0.49, 0.51, 0.49, 0.51, 0.49]"
46,16,0,1,10,0.5,10,./data/dataset4/individuals/ca_pair_1_16,"[0.53, 0.47, 0.54, 0.46, 0.54, 0.46, 0.54, 0.46, 0.54, 0.46]"
47,17,0,1,10,0.5,10,./data/dataset4/individuals/ca_pair_1_17,"[0.53, 0.47, 0.53, 0.47, 0.53, 0.47, 0.53, 0.47, 0.53, 0.47]"
48,18,0,1,10,0.5,10,./data/dataset4/individuals/ca_pair_1_18,"[0.51, 0.49, 0.53, 0.47, 0.53, 0.47, 0.53, 0.47, 0.53, 0.47]"
49,19,0,1,10,0.5,10,./data/dataset4/individuals/ca_pair_1_19,"[0.57, 0.43, 0.58, 0.42, 0.58, 0.42, 0.58, 0.42, 0.58, 0.42]"
50,20,0,1,10,0.5,10,./data/dataset4/individuals/ca_pair_1_20,"[0.48, 0.52, 0.48, 0.52, 0.48, 0.52, 0.48, 0.52, 0.48, 0.52]"
51,21,0,1,10,0.5,10,./data/dataset4/individuals/ca_pair_1_21,"[0.6, 0.4, 0.6, 0.4, 0.6, 0.4, 0.6, 0.4, 0.6, 0.4]"
52,22,0,1,10,0.5,10,./data/dataset4/individuals/ca_pair_1_22,"[0.46, 0.54, 0.46, 0.54, 0.46, 0.54, 0.46, 0.54, 0.46, 0.54]"
53,23,0,1,10,0.5,10,./data/dataset4/individuals/ca_pair_1_23,"[0.52, 0.48, 0.52, 0.48, 0.52, 0.48, 0.52, 0.48, 0.52, 0.48]"
54,24,0,1,10,0.5,10,./data/dataset4/individuals/ca_pair_1_24,"[0.48, 0.53, 0.47, 0.53, 0.47, 0.53, 0.47, 0.53, 0.47, 0.53]"
55,25,0,1,10,0.5,10,./data/dataset4/individuals/ca_pair_1_25,"[0.43, 0.57, 0.43, 0.57, 0.43, 0.57, 0.43, 0.57, 0.43, 0.57]"
56,26,0,1,10,0.5,10,./data/dataset4/individuals/ca_pair_1_26,"[0.51, 0.49, 0.51, 0.49, 0.51, 0.49, 0.51, 0.49, 0.51, 0.49]"
57,27,0,1,10,0.5,10,./data/dataset4/individuals/ca_pair_1_27,"[0.52, 0.48, 0.53, 0.47, 0.53, 0.47, 0.53, 0.47, 0.53, 0.47]"
58,28,0,1,10,0.5,10,./data/dataset4/individuals/ca_pair_1_28,"[0.55, 0.45, 0.56, 0.44, 0.56, 0.44, 0.56, 0.44, 0.56, 0.44]"
59,29,0,1,10,0.5,10,./data/dataset4/individuals/ca_pair_1_29,"[0.52, 0.48, 0.52, 0.48, 0.52, 0.48, 0.52, 0.48, 0.52, 0.48]"
60,0,0,2,10,0.5,10,./data/dataset4/individuals/ca_pair_2_0,"[0.5, 0.5, 0.52, 0.48, 0.54, 0.46, 0.55, 0.45, 0.55, 0.45]"
61,1,0,2,10,0.5,10,./data/dataset4/individuals/ca_pair_2_1,"[0.52, 0.51, 0.52, 0.48, 0.53, 0.47, 0.53, 0.47, 0.53, 0.47]"
62,2,0,2,10,0.5,10,./data/dataset4/individuals/ca_pair_2_2,"[0.49, 0.54, 0.46, 0.55, 0.45, 0.55, 0.45, 0.55, 0.45, 0.55]"
63,3,0,2,10,0.5,10,./data/dataset4/individuals/ca_pair_2_3,"[0.47, 0.55, 0.47, 0.54, 0.47, 0.53, 0.47, 0.53, 0.47, 0.53]"
64,4,0,2,10,0.5,10,./data/dataset4/individuals/ca_pair_2_4,"[0.49, 0.52, 0.49, 0.51, 0.49, 0.51, 0.49, 0.51, 0.49, 0.51]"
65,5,0,2,10,0.5,10,./data/dataset4/individuals/ca_pair_2_5,"[0.54, 0.48, 0.54, 0.46, 0.55, 0.45, 0.55, 0.45, 0.55, 0.45]"
66,6,0,2,10,0.5,10,./data/dataset4/individuals/ca_pair_2_6,"[0.58, 0.42, 0.59, 0.41, 0.6, 0.4, 0.61, 0.39, 0.61, 0.39]"
67,7,0,2,10,0.5,10,./data/dataset4/individuals/ca_pair_2_7,"[0.5, 0.52, 0.51, 0.49, 0.52, 0.48, 0.52, 0.48, 0.52, 0.48]"
68,8,0,2,10,0.5,10,./data/dataset4/individuals/ca_pair_2_8,"[0.45, 0.57, 0.44, 0.58, 0.43, 0.58, 0.43, 0.57, 0.43, 0.57]"
69,9,0,2,10,0.5,10,./data/dataset4/individuals/ca_pair_2_9,"[0.54, 0.46, 0.59, 0.41, 0.62, 0.38, 0.63, 0.37, 0.63, 0.37]"
70,10,0,2,10,0.5,10,./data/dataset4/individuals/ca_pair_2_10,"[0.55, 0.46, 0.56, 0.44, 0.58, 0.42, 0.58, 0.42, 0.58, 0.42]"
71,11,0,2,10,0.5,10,./data/dataset4/individuals/ca_pair_2_11,"[0.48, 0.55, 0.47, 0.54, 0.47, 0.53, 0.48, 0.52, 0.48, 0.52]"
72,12,0,2,10,0.5,10,./data/dataset4/individuals/ca_pair_2_12,"[0.52, 0.5, 0.51, 0.49, 0.51, 0.49, 0.51, 0.49, 0.51, 0.49]"
73,13,0,2,10,0.5,10,./data/dataset4/individuals/ca_pair_2_13,"[0.39, 0.63, 0.38, 0.63, 0.37, 0.63, 0.37, 0.63, 0.37, 0.63]"
74,14,0,2,10,0.5,10,./data/dataset4/individuals/ca_pair_2_14,"[0.51, 0.5, 0.53, 0.48, 0.52, 0.48, 0.52, 0.48, 0.52, 0.48]"
75,15,0,2,10,0.5,10,./data/dataset4/individuals/ca_pair_2_15,"[0.51, 0.51, 0.51, 0.49, 0.51, 0.49, 0.51, 0.49, 0.51, 0.49]"
76,16,0,2,10,0.5,10,./data/dataset4/individuals/ca_pair_2_16,"[0.52, 0.5, 0.55, 0.45, 0.55, 0.45, 0.55, 0.45, 0.55, 0.45]"
77,17,0,2,10,0.5,10,./data/dataset4/individuals/ca_pair_2_17,"[0.58, 0.42, 0.59, 0.41, 0.59, 0.41, 0.59, 0.41, 0.59, 0.41]"
78,18,0,2,10,0.5,10,./data/dataset4/individuals/ca_pair_2_18,"[0.5, 0.53, 0.49, 0.53, 0.47, 0.53, 0.47, 0.53, 0.47, 0.53]"
79,19,0,2,10,0.5,10,./data/dataset4/individuals/ca_pair_2_19,"[0.46, 0.57, 0.43, 0.57, 0.43, 0.57, 0.43, 0.57, 0.43, 0.57]"
80,20,0,2,10,0.5,10,./data/dataset4/individuals/ca_pair_2_20,"[0.56, 0.46, 0.58, 0.42, 0.58, 0.42, 0.58, 0.42, 0.58, 0.42]"
81,21,0,2,10,0.5,10,./data/dataset4/individuals/ca_pair_2_21,"[0.49, 0.52, 0.51, 0.49, 0.51, 0.49, 0.51, 0.49, 0.51, 0.49]"
82,22,0,2,10,0.5,10,./data/dataset4/individuals/ca_pair_2_22,"[0.56, 0.45, 0.59, 0.41, 0.61, 0.39, 0.61, 0.39, 0.61, 0.39]"
83,23,0,2,10,0.5,10,./data/dataset4/individuals/ca_pair_2_23,"[0.51, 0.5, 0.51, 0.49, 0.52, 0.48, 0.52, 0.48, 0.52, 0.48]"
84,24,0,2,10,0.5,10,./data/dataset4/individuals/ca_pair_2_24,"[0.43, 0.61, 0.4, 0.61, 0.39, 0.61, 0.39, 0.61, 0.39, 0.61]"
85,25,0,2,10,0.5,10,./data/dataset4/individuals/ca_pair_2_25,"[0.51, 0.51, 0.5, 0.5, 0.51, 0.49, 0.51, 0.49, 0.51, 0.49]"
86,26,0,2,10,0.5,10,./data/dataset4/individuals/ca_pair_2_26,"[0.51, 0.49, 0.52, 0.48, 0.52, 0.48, 0.52, 0.48, 0.52, 0.48]"
87,27,0,2,10,0.5,10,./data/dataset4/individuals/ca_pair_2_27,"[0.48, 0.55, 0.48, 0.52, 0.48, 0.52, 0.48, 0.52, 0.48, 0.52]"
88,28,0,2,10,0.5,10,./data/dataset4/individuals/ca_pair_2_28,"[0.48, 0.55, 0.47, 0.54, 0.47, 0.53, 0.47, 0.53, 0.47, 0.53]"
89,29,0,2,10,0.5,10,./data/dataset4/individuals/ca_pair_2_29,"[0.53, 0.48, 0.53, 0.47, 0.54, 0.46, 0.55, 0.45, 0.56, 0.44]"
90,0,0,3,10,0.5,10,./data/dataset4/individuals/ca_pair_3_0,"[0.53, 0.54, 0.54, 0.48, 0.55, 0.46, 0.55, 0.45, 0.55, 0.45]"
91,1,0,3,10,0.5,10,./data/dataset4/individuals/ca_pair_3_1,"[0.57, 0.47, 0.6, 0.41, 0.61, 0.39, 0.62, 0.38, 0.62, 0.38]"
92,2,0,3,10,0.5,10,./data/dataset4/individuals/ca_pair_3_2,"[0.51, 0.54, 0.52, 0.5, 0.52, 0.48, 0.53, 0.47, 0.54, 0.46]"
93,3,0,3,10,0.5,10,./data/dataset4/individuals/ca_pair_3_3,"[0.49, 0.55, 0.52, 0.49, 0.55, 0.45, 0.56, 0.44, 0.57, 0.43]"
94,4,0,3,10,0.5,10,./data/dataset4/individuals/ca_pair_3_4,"[0.54, 0.54, 0.5, 0.51, 0.49, 0.51, 0.49, 0.51, 0.49, 0.51]"
95,5,0,3,10,0.5,10,./data/dataset4/individuals/ca_pair_3_5,"[0.53, 0.54, 0.53, 0.52, 0.51, 0.52, 0.49, 0.52, 0.49, 0.51]"
96,6,0,3,10,0.5,10,./data/dataset4/individuals/ca_pair_3_6,"[0.51, 0.54, 0.52, 0.51, 0.5, 0.51, 0.49, 0.52, 0.48, 0.52]"
97,7,0,3,10,0.5,10,./data/dataset4/individuals/ca_pair_3_7,"[0.41, 0.7, 0.31, 0.74, 0.26, 0.78, 0.22, 0.82, 0.18, 0.84]"
98,8,0,3,10,0.5,10,./data/dataset4/individuals/ca_pair_3_8,"[0.43, 0.69, 0.33, 0.72, 0.29, 0.74, 0.26, 0.77, 0.23, 0.79]"
99,9,0,3,10,0.5,10,./data/dataset4/individuals/ca_pair_3_9,"[0.48, 0.62, 0.4, 0.67, 0.34, 0.7, 0.3, 0.72, 0.28, 0.75]"
100,10,0,3,10,0.5,10,./data/dataset4/individuals/ca_pair_3_10,"[0.54, 0.51, 0.6, 0.42, 0.63, 0.37, 0.67, 0.33, 0.69, 0.31]"
101,11,0,3,10,0.5,10,./data/dataset4/individuals/ca_pair_3_11,"[0.54, 0.53, 0.51, 0.5, 0.53, 0.47, 0.54, 0.46, 0.54, 0.46]"
102,12,0,3,10,0.5,10,./data/dataset4/individuals/ca_pair_3_12,"[0.58, 0.47, 0.6, 0.43, 0.59, 0.42, 0.59, 0.42, 0.58, 0.43]"
103,13,0,3,10,0.5,10,./data/dataset4/individuals/ca_pair_3_13,"[0.56, 0.46, 0.61, 0.4, 0.64, 0.37, 0.63, 0.37, 0.63, 0.37]"
104,14,0,3,10,0.5,10,./data/dataset4/individuals/ca_pair_3_14,"[0.46, 0.62, 0.42, 0.6, 0.41, 0.6, 0.41, 0.61, 0.39, 0.62]"
105,15,0,3,10,0.5,10,./data/dataset4/individuals/ca_pair_3_15,"[0.47, 0.68, 0.35, 0.7, 0.3, 0.73, 0.27, 0.74, 0.26, 0.75]"
106,16,0,3,10,0.5,10,./data/dataset4/individuals/ca_pair_3_16,"[0.52, 0.57, 0.5, 0.5, 0.52, 0.48, 0.53, 0.47, 0.55, 0.45]"
107,17,0,3,10,0.5,10,./data/dataset4/individuals/ca_pair_3_17,"[0.6, 0.43, 0.65, 0.35, 0.67, 0.33, 0.68, 0.32, 0.69, 0.31]"
108,18,0,3,10,0.5,10,./data/dataset4/individuals/ca_pair_3_18,"[0.49, 0.6, 0.47, 0.55, 0.46, 0.55, 0.45, 0.55, 0.45, 0.55]"
109,19,0,3,10,0.5,10,./data/dataset4/individuals/ca_pair_3_19,"[0.53, 0.52, 0.54, 0.48, 0.53, 0.48, 0.53, 0.47, 0.53, 0.47]"
110,20,0,3,10,0.5,10,./data/dataset4/individuals/ca_pair_3_20,"[0.49, 0.55, 0.52, 0.51, 0.52, 0.5, 0.51, 0.5, 0.5, 0.5]"
111,21,0,3,10,0.5,10,./data/dataset4/individuals/ca_pair_3_21,"[0.52, 0.55, 0.53, 0.49, 0.55, 0.45, 0.58, 0.42, 0.58, 0.42]"
112,22,0,3,10,0.5,10,./data/dataset4/individuals/ca_pair_3_22,"[0.42, 0.71, 0.29, 0.75, 0.25, 0.75, 0.25, 0.75, 0.25, 0.75]"
113,23,0,3,10,0.5,10,./data/dataset4/individuals/ca_pair_3_23,"[0.55, 0.47, 0.59, 0.41, 0.63, 0.37, 0.65, 0.35, 0.67, 0.33]"
114,24,0,3,10,0.5,10,./data/dataset4/individuals/ca_pair_3_24,"[0.62, 0.39, 0.75, 0.26, 0.78, 0.22, 0.81, 0.19, 0.84, 0.16]"
115,25,0,3,10,0.5,10,./data/dataset4/individuals/ca_pair_3_25,"[0.44, 0.65, 0.36, 0.72, 0.28, 0.76, 0.24, 0.78, 0.22, 0.8]"
116,26,0,3,10,0.5,10,./data/dataset4/individuals/ca_pair_3_26,"[0.54, 0.49, 0.58, 0.43, 0.57, 0.44, 0.56, 0.45, 0.55, 0.45]"
117,27,0,3,10,0.5,10,./data/dataset4/individuals/ca_pair_3_27,"[0.57, 0.46, 0.61, 0.39, 0.68, 0.32, 0.72, 0.28, 0.74, 0.26]"
118,28,0,3,10,0.5,10,./data/dataset4/individuals/ca_pair_3_28,"[0.43, 0.68, 0.36, 0.72, 0.28, 0.73, 0.27, 0.73, 0.27, 0.73]"
119,29,0,3,10,0.5,10,./data/dataset4/individuals/ca_pair_3_29,"[0.5, 0.59, 0.46, 0.56, 0.48, 0.52, 0.52, 0.48, 0.54, 0.46]"
120,0,0,4,10,0.5,10,./data/dataset4/individuals/ca_pair_4_0,"[0.52, 0.63, 0.45, 0.58, 0.42, 0.62, 0.38, 0.64, 0.36, 0.67]"
121,1,0,4,10,0.5,10,./data/dataset4/individuals/ca_pair_4_1,"[0.58, 0.49, 0.67, 0.35, 0.75, 0.25, 0.8, 0.2, 0.84, 0.16]"
122,2,0,4,10,0.5,10,./data/dataset4/individuals/ca_pair_4_2,"[0.51, 0.7, 0.39, 0.65, 0.35, 0.69, 0.31, 0.72, 0.28, 0.74]"
123,3,0,4,10,0.5,10,./data/dataset4/individuals/ca_pair_4_3,"[0.52, 0.63, 0.42, 0.65, 0.36, 0.68, 0.32, 0.72, 0.28, 0.73]"
124,4,0,4,10,0.5,10,./data/dataset4/individuals/ca_pair_4_4,"[0.52, 0.65, 0.4, 0.71, 0.31, 0.72, 0.29, 0.72, 0.28, 0.72]"
125,5,0,4,10,0.5,10,./data/dataset4/individuals/ca_pair_4_5,"[0.49, 0.68, 0.36, 0.73, 0.27, 0.77, 0.23, 0.82, 0.18, 0.88]"
