Dataset,Model,Model variation,Number of individuals,Execution,RMSE,R2,RMSE by iteration,R2 by iteration
dataset12_density,KNN,vector,1000,0,0.5348996521485997,0.7270718566792309,"{'1': 0.43456993185060366, '2': 0.554208475869702, '3': 0.49871217680204843, '4': 0.5591692342205643, '5': 0.5176439310655138, '6': 0.5885038554586882, '7': 0.5410683227237187, '8': 0.5873523200981872, '9': 0.5328686212483708}","{'1': 0.818580574170707, '2': 0.708220688706831, '3': 0.7604924856769315, '4': 0.7021921623688518, '5': 0.7503201045311679, '6': 0.6714787244459516, '7': 0.7285121206800845, '8': 0.6686463659017938, '9': 0.7352034836307594}"
dataset12_density,KNN,vector,1000,1,0.524781217895185,0.71137714302025,"{'1': 0.4002337504421937, '2': 0.5246015483758915, '3': 0.5202883996827841, '4': 0.5634158338744707, '5': 0.5597925182203708, '6': 0.5506777692436355, '7': 0.5305877517426486, '8': 0.5406585316784102, '9': 0.53277485779626}","{'1': 0.8143098289431231, '2': 0.6953167283097015, '3': 0.7162456256894016, '4': 0.674214258369457, '5': 0.6751605694751899, '6': 0.6956232339109214, '7': 0.7139714437943258, '8': 0.7046936607066072, '9': 0.7128589379835226}"
dataset12_density,KNN,vector,1000,2,0.5289425995171135,0.7077385157404733,"{'1': 0.40744799154125355, '2': 0.5507499358547486, '3': 0.4772965002827113, '4': 0.5737440378040893, '5': 0.5430255477268509, '6': 0.5776518147539997, '7': 0.5214800856707723, '8': 0.5884983085221316, '9': 0.5205891734974641}","{'1': 0.8311961706134635, '2': 0.6707040390515807, '3': 0.7658986195778865, '4': 0.6520137082945224, '5': 0.7033199459641941, '6': 0.6519559156786119, '7': 0.7238999805956644, '8': 0.6426364864997034, '9': 0.7280217753886337}"
dataset12_density,KNN,vector,1000,3,0.5509603491010123,0.7019934968565786,"{'1': 0.4467040653902118, '2': 0.5545788708435623, '3': 0.5611178635374922, '4': 0.5599134245554935, '5': 0.546016911918413, '6': 0.5742074135558193, '7': 0.5672313282139636, '8': 0.5832682792761419, '9': 0.5656049846180123}","{'1': 0.8069748730422257, '2': 0.7138670271069647, '3': 0.6932690935123229, '4': 0.700950789543145, '5': 0.698984183026393, '6': 0.6775345078395124, '7': 0.6815167333935771, '8': 0.6634467884300852, '9': 0.6813974758149822}"
dataset12_density,KNN,vector,1000,4,0.5609497365527784,0.689717933994079,"{'1': 0.44142545208739287, '2': 0.6147776128135127, '3': 0.5135086544776135, '4': 0.616912389713794, '5': 0.5278115984438402, '6': 0.6193815757918614, '7': 0.5493229067920159, '8': 0.609187075699011, '9': 0.5562203631559639}","{'1': 0.8107937687987281, '2': 0.6408931785823719, '3': 0.7401759766850146, '4': 0.63053771067817, '5': 0.7279494014439299, '6': 0.6256146904417728, '7': 0.7046990186225988, '8': 0.6314030129160093, '9': 0.6953946477781159}"
dataset12_density,KNN,vector,1000,5,0.531507918589805,0.7362305504728186,"{'1': 0.4022571744570772, '2': 0.5859074595066044, '3': 0.49212898661897325, '4': 0.5514113802249757, '5': 0.5166362800156584, '6': 0.5754789990498237, '7': 0.5435071011418401, '8': 0.5894045050146186, '9': 0.5268393812786724}","{'1': 0.8451799344656676, '2': 0.687115746609728, '3': 0.7732648270336163, '4': 0.7175821892528135, '5': 0.752817715647437, '6': 0.7012018428788689, '7': 0.7270855356497002, '8': 0.6805847006327113, '9': 0.7412424620848236}"
dataset12_density,KNN,vector,1000,6,0.524318335490848,0.659366656051988,"{'1': 0.3708359896981354, '2': 0.5259801519137765, '3': 0.5066440867173194, '4': 0.5398381610196357, '5': 0.5289690581018069, '6': 0.5557735850054779, '7': 0.5667667736941753, '8': 0.5616754599032437, '9': 0.5623817533640634}","{'1': 0.8489700261823245, '2': 0.6627348538395823, '3': 0.6839344127601172, '4': 0.6344788605582492, '5': 0.6542401449978477, '6': 0.6156940997957963, '7': 0.6125525942852514, '8': 0.60055320363303, '9': 0.6211417084156927}"
dataset12_density,KNN,vector,1000,7,0.5437068828574549,0.6692114511656935,"{'1': 0.40332644537552914, '2': 0.5678091712938574, '3': 0.5327750002234974, '4': 0.5823484700174305, '5': 0.531332599486428, '6': 0.6026856993780791, '7': 0.5511199525698424, '8': 0.5972446853242328, '9': 0.524719922048199}","{'1': 0.8322799131362513, '2': 0.6393040055908186, '3': 0.6914531890788808, '4': 0.6064261047788635, '5': 0.6951811545686717, '6': 0.5906034912900855, '7': 0.6716063285171172, '8': 0.6007076814331902, '9': 0.6953411920973629}"
dataset12_density,KNN,vector,1000,8,0.5196796272700939,0.7253768811145053,"{'1': 0.3654441434133873, '2': 0.5636468280328312, '3': 0.5230798958094961, '4': 0.5550638243262526, '5': 0.5320614450554022, '6': 0.5322648505468635, '7': 0.521767228342096, '8': 0.5539047175573838, '9': 0.5298837123471325}","{'1': 0.8550391704115752, '2': 0.67720070896368, '3': 0.723529892229291, '4': 0.6922771662287471, '5': 0.7205198614820498, '6': 0.7192433724763149, '7': 0.727692136678431, '8': 0.697627118322272, '9': 0.7152625032381867}"
dataset12_density,KNN,vector,1000,9,0.5609306306783298,0.6911902578435363,"{'1': 0.40120995647022567, '2': 0.5959459060796921, '3': 0.5383637278231086, '4': 0.6092374470735579, '5': 0.553101766233963, '6': 0.6140783970382571, '7': 0.5544624031541235, '8': 0.6225529388450628, '9': 0.5594231333869775}","{'1': 0.8526016782728085, '2': 0.6850256786946619, '3': 0.7033579263485492, '4': 0.6577746057211071, '5': 0.6890736390184473, '6': 0.646547266460094, '7': 0.6816401347024614, '8': 0.634803629915152, '9': 0.6698877614585452}"
