Dataset,Model,Model variation,Number of individuals,RMSE mean,R2 mean,RMSE std,R2 std,RMSE mean by iteration,R2 mean by iteration,RMSE std by iteration,R2 std by iteration
dataset11_density,KNN,vector,1000,0.525711899,0.722120227,0.028395759,0.03884896,"{1: 0.31987598516921745, 2: 0.5441609692361868, 3: 0.5240076172026888, 4: 0.5719513518191389, 5: 0.531112741928801, 6: 0.5894879652533161, 7: 0.5327551890279378, 8: 0.5829845007609846, 9: 0.5350707691481432}","{1: 0.9009589392025499, 2: 0.7085706899289492, 3: 0.7317090987787902, 4: 0.6755836199583568, 5: 0.7234838840979085, 6: 0.6578759614975027, 7: 0.7192278409105821, 8: 0.662594981761799, 9: 0.7190770291196851}","{1: 0.023396564501687783, 2: 0.04045274660072428, 3: 0.03471591055789677, 4: 0.035239252532586134, 5: 0.024976856204212333, 6: 0.04624940727231842, 7: 0.03202697308689844, 8: 0.037624870784343026, 9: 0.02716917396469021}","{1: 0.013080025804049331, 2: 0.047888007792744526, 3: 0.03620859535766031, 4: 0.05023684963588615, 5: 0.03285706393724475, 6: 0.0627013533407333, 7: 0.042800502586283505, 8: 0.05558334597829252, 9: 0.035773725710369124}"
dataset11_density,DecisionTree,vector,1000,0.694058338,0.526735648,0.031565043,0.050641243,"{1: 0.6294962409221336, 2: 0.7100386385829976, 3: 0.7035555934212868, 4: 0.7153700439176969, 5: 0.6855948232997547, 6: 0.7164501308639403, 7: 0.6819800201852643, 8: 0.7217254185165254, 9: 0.6823141351483226}","{1: 0.6157201721602973, 2: 0.5060808215834259, 3: 0.5165653933008624, 4: 0.4946474188917387, 5: 0.5394447119541764, 6: 0.49769493183900987, 7: 0.5410568759567436, 8: 0.4856691860939099, 9: 0.5437413208894062}","{1: 0.04090681760325722, 2: 0.026579957803018067, 3: 0.03787571133642258, 4: 0.028228156024144514, 5: 0.042200933775938664, 6: 0.03641387449193886, 7: 0.04656571978114698, 8: 0.03701588120676011, 9: 0.04465342325676584}","{1: 0.049542751086904646, 2: 0.04699057643327966, 3: 0.05860090972066196, 4: 0.05365588752362041, 5: 0.06135355451259114, 6: 0.06393705703148794, 7: 0.06452307780669694, 8: 0.06335779165785371, 9: 0.06075457054863142}"
dataset11_density,RandomForest,vector,1000,0.435980526,0.80854828,0.034050642,0.038783937,"{1: 0.2974331840716406, 2: 0.42115247489660323, 3: 0.415397563946349, 4: 0.4731284002873804, 5: 0.4462550802184412, 6: 0.48397591948571994, 7: 0.44285041853578966, 8: 0.4883483059745089, 9: 0.4552833901447748}","{1: 0.9137508501982385, 2: 0.8231846451728447, 3: 0.8309993157695766, 4: 0.777268927901951, 5: 0.8040160113004872, 6: 0.768073303201586, 7: 0.8036963339321208, 8: 0.7621929439759056, 9: 0.7937521927163684}","{1: 0.020047904788686767, 2: 0.03535468285968923, 3: 0.023620883131413063, 4: 0.03245135371567721, 5: 0.030630972549464, 6: 0.04637827966943271, 7: 0.04976978132821919, 8: 0.04073172453910525, 9: 0.050594583386846005}","{1: 0.015196168116133337, 2: 0.042067285415324715, 3: 0.024494981166306298, 4: 0.03942530837330697, 5: 0.033632713986005126, 6: 0.051759504199486765, 7: 0.050639968899871664, 8: 0.050299329114219214, 9: 0.053027323145865744}"
dataset11_density,NeuralNetwork,vector,1000,0.378827438,0.854301785,0.023224709,0.021840111,"{1: 0.21042107964100368, 2: 0.3611003770841532, 3: 0.37324949320812045, 4: 0.411787050784326, 5: 0.3921646260426919, 6: 0.43040245435370605, 7: 0.3867278334340427, 8: 0.4345549520526646, 9: 0.40903907968936737}","{1: 0.956898512701007, 2: 0.8706751319793552, 3: 0.8638128189298293, 4: 0.8311234141924537, 5: 0.8492109782607645, 6: 0.817130822530381, 7: 0.8521757414338452, 8: 0.8121330824183547, 9: 0.835555564015252}","{1: 0.013450102587824942, 2: 0.037191418867929794, 3: 0.02873097477837133, 4: 0.03762200929914146, 5: 0.020713547606904442, 6: 0.04273983888422165, 7: 0.02245125836299649, 8: 0.034174182670884595, 9: 0.025409201582289605}","{1: 0.0066530899282136, 2: 0.02776380393162664, 3: 0.021067105644611662, 4: 0.03470217403366641, 5: 0.02007627723722825, 6: 0.037418352741413176, 7: 0.021219014529298825, 8: 0.03419143992472931, 9: 0.0235863910680275}"
dataset12_density,KNN,vector,1000,0.538067695,0.701927474,0.01521824,0.02500668,"{1: 0.407345490072601, 2: 0.5638205960584178, 3: 0.5163915291975044, 4: 0.5711054202830265, 5: 0.5356391656268247, 6: 0.5790703959822505, 7: 0.5447313854045196, 8: 0.5833746821918423, 9: 0.5411305902741115}","{1: 0.8315925938036873, 2: 0.678038265545592, 3: 0.7251622048592012, 4: 0.6668447555793927, 5: 0.7067566720155328, 6: 0.659549714521793, 7: 0.6973176026919213, 8: 0.6525102648390554, 9: 0.6995751947890625}","{1: 0.025827608788508, 2: 0.027296701223908586, 3: 0.023118252155411172, 4: 0.023738978383763463, 5: 0.013684403484875195, 6: 0.026599670879106377, 7: 0.015592719619237937, 8: 0.023740345938845265, 9: 0.016652313473601084}","{1: 0.01727707741384675, 2: 0.024069141804950574, 3: 0.03139706253600045, 4: 0.034650337075711475, 5: 0.029888382015152554, 6: 0.0388850837763355, 7: 0.03487395214573788, 8: 0.03488032236497549, 9: 0.0341119953370749}"
dataset12_density,DecisionTree,vector,1000,0.63195252,0.589327465,0.028124588,0.063000448,"{1: 0.5866921564163128, 2: 0.6338313141932584, 3: 0.6227438671689703, 4: 0.6372814230208573, 5: 0.632540704873885, 6: 0.6400487217019041, 7: 0.6407258386022496, 8: 0.6544689768689457, 9: 0.6392396729399821}","{1: 0.648686694530552, 2: 0.5888481449044678, 3: 0.597701904053951, 4: 0.5800823478499216, 5: 0.5874169376682394, 6: 0.581851795660817, 7: 0.5794085943141877, 8: 0.5604445483002624, 9: 0.5795062199168746}","{1: 0.041663749205516555, 2: 0.028115480724045572, 3: 0.036934323102953595, 4: 0.04418672349882213, 5: 0.04124943956534101, 6: 0.030380304609427866, 7: 0.028585969431363382, 8: 0.034180105403347066, 9: 0.028798043648973183}","{1: 0.055469765484176065, 2: 0.06665864917046878, 3: 0.06820895987430191, 4: 0.08479173147548, 5: 0.077721705487837, 6: 0.06363593474568437, 7: 0.06543095879678594, 8: 0.06442990119459692, 9: 0.05996279457238328}"
dataset12_density,RandomForest,vector,1000,0.69592695,0.504757942,0.041670775,0.058577897,"{1: 0.6794028417441897, 2: 0.7314051391381078, 3: 0.6765501821050817, 4: 0.7185455023447563, 5: 0.6674507447803076, 6: 0.721905370518249, 7: 0.6765711237725395, 8: 0.7196150053485193, 9: 0.671896636851393}","{1: 0.5319886281086086, 2: 0.4538677197889479, 3: 0.5288703774393511, 4: 0.47055970336362635, 5: 0.5451993345487673, 6: 0.4695656122261288, 7: 0.5341209423524548, 8: 0.4705117452295937, 9: 0.5381374113025329}","{1: 0.03833000703870736, 2: 0.05673953543942878, 3: 0.04540626223414017, 4: 0.05761970828393126, 5: 0.052013747999150546, 6: 0.06148293915163603, 7: 0.04962718615910731, 8: 0.05539773102857218, 9: 0.04625281735223431}","{1: 0.039102497704462454, 2: 0.09772184722190798, 3: 0.057436533844788536, 4: 0.09585279177608616, 5: 0.062151540664836274, 6: 0.09476728891184558, 7: 0.05994818433313939, 8: 0.08279622018349225, 9: 0.05513559865671186}"
dataset12_density,NeuralNetwork,vector,1000,0.367542764,0.856930888,0.033183795,0.031965346,"{1: 0.2204100739957941, 2: 0.3497772083869219, 3: 0.3572239405800104, 4: 0.38676862832528547, 5: 0.3789642924365272, 6: 0.4064900477801559, 7: 0.3964974471187248, 8: 0.41819163010328575, 9: 0.3935616097246236}","{1: 0.9502844449984706, 2: 0.874280005727962, 3: 0.8664019245579269, 4: 0.8438704422965666, 5: 0.851236620679221, 6: 0.8294812847468375, 7: 0.8379374130065411, 8: 0.8190505936675148, 9: 0.8398352651845558}","{1: 0.02328105565661664, 2: 0.03124393514083236, 3: 0.037600695029881184, 4: 0.05027962620779172, 5: 0.0377774908320118, 6: 0.05160880007730568, 7: 0.037835141491146376, 8: 0.042707892321598356, 9: 0.030113500475106383}","{1: 0.010391176334471758, 2: 0.027593844002175797, 3: 0.033356078193356724, 4: 0.04506544271097789, 5: 0.034481451298583474, 6: 0.04672377164789855, 7: 0.0359217013587267, 8: 0.042238267628993395, 9: 0.03091797672147229}"
dataset13_density,KNN,vector,1000,0.554496879,0.683467566,0.020535037,0.035786039,"{1: 0.42159918806931246, 2: 0.5464091838889662, 3: 0.5094331627844666, 4: 0.5541304476045824, 5: 0.5238947801015013, 6: 0.563472740608343, 7: 0.533577151185252, 8: 0.5710838035115743, 9: 0.5301330725532841, 10: 0.5683867578613662, 11: 0.5382784077706961, 12: 0.5755139540609486, 13: 0.5406257445499025, 14: 0.5743974787570614, 15: 0.5336015544631711, 16: 0.5733050301943569, 17: 0.5411017452857205, 18: 0.5770068120408931, 19: 0.5362628028038892, 20: 0.5734306929926707, 21: 0.5431804331653847, 22: 0.5807230220940023, 23: 0.5361644903282128, 24: 0.5763714316283151, 25: 0.5421936735394479, 26: 0.5771742014234619, 27: 0.5428260714371237, 28: 0.5762090718001414, 29: 0.5462211676074373, 30: 0.5779840213858325, 31: 0.5477840172310352, 32: 0.5779477761761694, 33: 0.5465503858844921, 34: 0.581654971488198, 35: 0.5446697935854974, 36: 0.5812772606291683, 37: 0.5510426274240187, 38: 0.5795173045294291, 39: 0.5426373100380971, 40: 0.5774038778767598, 41: 0.5455307213277246, 42: 0.5823633392828379, 43: 0.543913071615708, 44: 0.5808058946716097, 45: 0.5445140200168492, 46: 0.582416360919632, 47: 0.5491592199332805, 48: 0.5822453806002625, 49: 0.544221634465129}","{1: 0.8193226241931129, 2: 0.6965980608355935, 3: 0.7320492661286901, 4: 0.6859085150043966, 5: 0.7191855979848587, 6: 0.6774004774751374, 7: 0.709537865616424, 8: 0.6667093646748717, 9: 0.7116504706507659, 10: 0.668040108306742, 11: 0.7028459174003616, 12: 0.665064936796827, 13: 0.6976584872037082, 14: 0.6634096319448005, 15: 0.7069170448648925, 16: 0.6627471228340679, 17: 0.6983243708552548, 18: 0.6604181032690054, 19: 0.7015395817208827, 20: 0.6652979991017689, 21: 0.6955717397735064, 22: 0.6540337684082709, 23: 0.7023238535889923, 24: 0.6587373134325557, 25: 0.6953604629410297, 26: 0.6595342892589953, 27: 0.6958185029592403, 28: 0.6588444390276235, 29: 0.6913861646631241, 30: 0.6588462356815493, 31: 0.6897452987519117, 32: 0.6569828946687175, 33: 0.6914770924696283, 34: 0.654173555810098, 35: 0.6934896466219783, 36: 0.6542149221429865, 37: 0.6864193197040487, 38: 0.6562355996561933, 39: 0.6964989554268075, 40: 0.6566581787347644, 41: 0.6920440279363814, 42: 0.6540227691026768, 43: 0.6927981274422883, 44: 0.6555308664567956, 45: 0.6932605345039636, 46: 0.651609781316312, 47: 0.6889083972239922, 48: 0.65264521619502, 49: 0.6921132455545516}","{1: 0.021274813024823452, 2: 0.02522606065639399, 3: 0.020718615607738217, 4: 0.02413018860350356, 5: 0.016066728370680468, 6: 0.02443023872948517, 7: 0.014213816272245293, 8: 0.021678000670185646, 9: 0.014571464427309461, 10: 0.02659488806313405, 11: 0.021195187160987363, 12: 0.03186972895300295, 13: 0.016717739238811275, 14: 0.029789377177460784, 15: 0.011186879637154555, 16: 0.030582135860761566, 17: 0.01744488010652831, 18: 0.03494330619606055, 19: 0.023499930121401898, 20: 0.02941680017429771, 21: 0.018814988100757567, 22: 0.03212149806485353, 23: 0.016594106743964464, 24: 0.033227292283526784, 25: 0.022169043822180195, 26: 0.025131927009604045, 27: 0.023188121399845572, 28: 0.034683665540515135, 29: 0.01939617082094565, 30: 0.032351947784858365, 31: 0.01872176160168232, 32: 0.031202578339487697, 33: 0.021507015853731735, 34: 0.028444733053343232, 35: 0.022504552685816512, 36: 0.030553747026004954, 37: 0.023642315790278055, 38: 0.03076549305412041, 39: 0.02227853216574052, 40: 0.029492659096630954, 41: 0.02193042943936021, 42: 0.030991699206819264, 43: 0.021690181006983545, 44: 0.02828377405950448, 45: 0.019633667308221064, 46: 0.02608271089481834, 47: 0.021513269469133692, 48: 0.030680595990987186, 49: 0.020946714185806736}","{1: 0.018145936682569284, 2: 0.03300393563639975, 3: 0.033776368509944914, 4: 0.03633401300196522, 5: 0.03204375589897493, 6: 0.038110338494586754, 7: 0.033565522851633854, 8: 0.03551610393799403, 9: 0.032652158363959446, 10: 0.04188151690379717, 11: 0.037579176597222506, 12: 0.0417704447586451, 13: 0.03848837674600454, 14: 0.04239354825800837, 15: 0.03262488133355216, 16: 0.04419355334114253, 17: 0.034900069282771555, 18: 0.04466221861513434, 19: 0.03892993725103836, 20: 0.041031893945086634, 21: 0.03370646473081054, 22: 0.04773759643541018, 23: 0.030278548137478597, 24: 0.04517659152641258, 25: 0.04137300236441542, 26: 0.038380928506447316, 27: 0.035133239335003105, 28: 0.043574431789012005, 29: 0.03559711679384568, 30: 0.046012464380610525, 31: 0.035634619795471986, 32: 0.04467245465796667, 33: 0.03733231940259729, 34: 0.041453172071884946, 35: 0.0386510816961131, 36: 0.039418413752236724, 37: 0.036365058675513685, 38: 0.04522159568446631, 39: 0.033157325056395064, 40: 0.048412964439841784, 41: 0.034693413115545746, 42: 0.03940455316864691, 43: 0.0352519213125024, 44: 0.0376098386838271, 45: 0.034572284498696836, 46: 0.04225319144849498, 47: 0.033896894123824975, 48: 0.044985915736953694, 49: 0.035714592239247236}"
dataset13_density,DecisionTree,vector,1000,0.665060104,0.54326195,0.044824016,0.08224847,"{1: 0.6480064358299407, 2: 0.6495972852722349, 3: 0.6469113575207015, 4: 0.6364020474824635, 5: 0.6443760487868418, 6: 0.6487551499507347, 7: 0.6509215089913912, 8: 0.6657819918206146, 9: 0.6477134290838337, 10: 0.6626796141270483, 11: 0.654845672947993, 12: 0.6719255386987868, 13: 0.6556892145982763, 14: 0.6703779057746672, 15: 0.6604497841482926, 16: 0.6728553900315266, 17: 0.6633541030106613, 18: 0.6744457127828174, 19: 0.6545079287818747, 20: 0.6772863506593271, 21: 0.6631458160090392, 22: 0.6762671369178527, 23: 0.6550914465938991, 24: 0.6764057037412445, 25: 0.662574002006902, 26: 0.6725297681344082, 27: 0.6641368733987638, 28: 0.6700055748556766, 29: 0.6596433541940582, 30: 0.674659125817327, 31: 0.6629548439481296, 32: 0.6773825374783409, 33: 0.6624763252311923, 34: 0.6810515395038438, 35: 0.6720068275520591, 36: 0.675000746916538, 37: 0.6690816828075031, 38: 0.674701418317708, 39: 0.6652738325362187, 40: 0.6723617537816684, 41: 0.6593701046790778, 42: 0.682670148126477, 43: 0.6628767604712543, 44: 0.6773900513096326, 45: 0.667528026346459, 46: 0.6820627910794081, 47: 0.6687291316007975, 48: 0.6790100837094479, 49: 0.664675234453557}","{1: 0.573239347422416, 2: 0.5684801997286204, 3: 0.5673806143076776, 4: 0.5818839549956134, 5: 0.5726836811159821, 6: 0.569860163179384, 7: 0.5652509611487786, 8: 0.54422697199439, 9: 0.567024147214456, 10: 0.5443928039901376, 11: 0.5601394385731634, 12: 0.5412393384604703, 13: 0.5528431627631984, 14: 0.5393348892304912, 15: 0.5489484306164281, 16: 0.5331446122187095, 17: 0.5455128280630251, 18: 0.533391848557815, 19: 0.554456117634182, 20: 0.5288869452275496, 21: 0.5458106202213024, 22: 0.5273378562550106, 23: 0.5544539243623067, 24: 0.5267551967084794, 25: 0.5442482725495162, 26: 0.5341025332010243, 27: 0.5446415000518844, 28: 0.5354428337819002, 29: 0.5489505920550998, 30: 0.530738647270493, 31: 0.5452504570171722, 32: 0.5262249513757158, 33: 0.5449884883977683, 34: 0.5224037360694556, 35: 0.5316604967224718, 36: 0.5300010259783415, 37: 0.5367168884104933, 38: 0.5304865541644542, 39: 0.5416055802656545, 40: 0.5309412910744509, 41: 0.5479660392634573, 42: 0.5213651422014574, 43: 0.5413203654078409, 44: 0.5282505186046121, 45: 0.5368163818343907, 46: 0.5191358238505215, 47: 0.5376076359324591, 48: 0.5241728317129991, 49: 0.5381189006983609}","{1: 0.050794402427893445, 2: 0.05191530492767851, 3: 0.04600384936785222, 4: 0.05569482252839407, 5: 0.04481031134335713, 6: 0.052164247476145294, 7: 0.052786255125544815, 8: 0.04757783509347569, 9: 0.044462124279576756, 10: 0.051554801429818546, 11: 0.040277912412764155, 12: 0.045450873687037416, 13: 0.04668711936177099, 14: 0.03562607860172658, 15: 0.0395656316120814, 16: 0.04705944296293821, 17: 0.04046461399382367, 18: 0.045536758205458765, 19: 0.04126002385753355, 20: 0.04400294267757217, 21: 0.03499286982330813, 22: 0.05000775215082679, 23: 0.036676803330011255, 24: 0.04893130491686869, 25: 0.04157798891222419, 26: 0.048044166409028415, 27: 0.04091547027229783, 28: 0.04837985635877873, 29: 0.0402378096346464, 30: 0.05613095224165059, 31: 0.0386892948206783, 32: 0.04888107633455448, 33: 0.04969119904983162, 34: 0.04685961063561749, 35: 0.04517658547825283, 36: 0.0503523336667205, 37: 0.041563554258664766, 38: 0.05888756376891392, 39: 0.04951538424153149, 40: 0.04914561268958938, 41: 0.05361231037881317, 42: 0.050019741274050324, 43: 0.0510964240732058, 44: 0.04432748867674239, 45: 0.04075803266630612, 46: 0.04895845221112829, 47: 0.04320566733944891, 48: 0.05125723900698234, 49: 0.04863645556219795}","{1: 0.056012515043595425, 2: 0.07869689498700529, 3: 0.06879822917264322, 4: 0.0899327686222926, 5: 0.07709519007258511, 6: 0.08159956117926982, 7: 0.08445722835326416, 8: 0.08062860264189033, 9: 0.07868703480577285, 10: 0.09902494621437595, 11: 0.06460286262815429, 12: 0.08026229944329248, 13: 0.08576539389664634, 14: 0.07590451835596217, 15: 0.07693861149086526, 16: 0.08559103445119182, 17: 0.07025190701117151, 18: 0.08519442645986622, 19: 0.07237405654741601, 20: 0.09640090163668644, 21: 0.061356497915550014, 22: 0.10013944623901691, 23: 0.06265408500565602, 24: 0.09403382415688712, 25: 0.0755058403525854, 26: 0.09286579454770814, 27: 0.06128269833796747, 28: 0.09040655003116888, 29: 0.06984687731168765, 30: 0.10615096123913825, 31: 0.06366206589774086, 32: 0.09161653067301913, 33: 0.08211245951696966, 34: 0.09369075357740636, 35: 0.08260635780559758, 36: 0.09369130199356715, 37: 0.06995464687452287, 38: 0.10340405099384328, 39: 0.08237678255501728, 40: 0.10083294973462266, 41: 0.08598738500550952, 42: 0.08821971599667383, 43: 0.0876770358135432, 44: 0.0857652459165152, 45: 0.07934311452252867, 46: 0.09472482778811339, 47: 0.07087568577122746, 48: 0.09888475655465478, 49: 0.08728468636666199}"
