Dataset,Model,Model variation,Number of individuals,Execution,RMSE,R2,RMSE by iteration,R2 by iteration
dataset16_density,KNN,vector,1000,0,0.5195975758670239,0.7464189162774602,"{'1': 0.5279244572821356, '2': 0.5909513563786831, '3': 0.4567694545632612, '4': 0.5406684187067733, '5': 0.42975631480803544, '6': 0.5308427362525254, '7': 0.45100217752641647, '8': 0.544329345731939, '9': 0.46908308727721604, '10': 0.5415704860587707, '11': 0.4781631528582999, '12': 0.5360268462996163, '13': 0.4776122217546592, '14': 0.5533869325572972, '15': 0.49704435432904437, '16': 0.5562984978799256, '17': 0.508768364287873, '18': 0.549715607456664, '19': 0.502869890858313, '20': 0.5457383055296389, '21': 0.508612011836599, '22': 0.5623691639089179, '23': 0.5085911835346424, '24': 0.5493131068206268, '25': 0.5107942176705857, '26': 0.5557302858599968, '27': 0.5118359460196559, '28': 0.5592681757595036, '29': 0.5132936003360767}","{'1': 0.7318147820918827, '2': 0.6690261779246685, '3': 0.8020934610257255, '4': 0.7220585417786942, '5': 0.8239691605669207, '6': 0.7318375868887199, '7': 0.8078726107578311, '8': 0.7161461647409271, '9': 0.7934634947139896, '10': 0.726987415028594, '11': 0.7825364453154267, '12': 0.732379526939944, '13': 0.7864542144941957, '14': 0.7168676882440024, '15': 0.7682667245923458, '16': 0.7131513252114244, '17': 0.7585672842058924, '18': 0.720707730809688, '19': 0.7656475547692054, '20': 0.7245996848883507, '21': 0.7587760461565721, '22': 0.7101187319924595, '23': 0.7587540909906503, '24': 0.7253961768757252, '25': 0.7574041312761002, '26': 0.7134197261329512, '27': 0.756718627091187, '28': 0.7153090678044987, '29': 0.7558043987377726}"
dataset16_density,KNN,vector,1000,1,0.6058253672876562,0.5883850760972318,"{'1': 0.602058628989738, '2': 0.6234463022271649, '3': 0.546966364855575, '4': 0.6347721897058441, '5': 0.5695099535412548, '6': 0.6417873653427839, '7': 0.5791325765253301, '8': 0.6277471577143477, '9': 0.5716374001214404, '10': 0.631269444727602, '11': 0.5710268148260272, '12': 0.6317856605048557, '13': 0.5820234197106219, '14': 0.6227459759573308, '15': 0.5964834795886931, '16': 0.6306259546624885, '17': 0.5927216915069686, '18': 0.6271636597599272, '19': 0.5833009402184691, '20': 0.618406699824022, '21': 0.5868339141465915, '22': 0.6358492012338159, '23': 0.5864302675698676, '24': 0.6311209727270137, '25': 0.5854797750354576, '26': 0.6302377210828356, '27': 0.5970784297065256, '28': 0.6322973058089398, '29': 0.5989963837204991}","{'1': 0.6282214203357437, '2': 0.5570980686859863, '3': 0.6715569453742182, '4': 0.5497714637119353, '5': 0.6420064915243917, '6': 0.5321770178250212, '7': 0.6239086026938305, '8': 0.5505647665355405, '9': 0.6395783321722516, '10': 0.5406701981531236, '11': 0.6383965926629056, '12': 0.5457815087092841, '13': 0.6183738667066858, '14': 0.5655339766151019, '15': 0.6008904500772112, '16': 0.5578298249512244, '17': 0.6065186593415439, '18': 0.5557940084394675, '19': 0.6180640421739707, '20': 0.55683013272008, '21': 0.6155979450415076, '22': 0.5400203702968986, '23': 0.6214034142741545, '24': 0.5523032023626703, '25': 0.6146067083638607, '26': 0.55720450386468, '27': 0.5982639491296312, '28': 0.5610876303777842, '29': 0.6031131136990164}"
dataset16_density,KNN,vector,1000,2,0.6061598898523087,0.6377575602398499,"{'1': 0.6310350943407339, '2': 0.6303115364887419, '3': 0.5726773489099461, '4': 0.6129116653179366, '5': 0.5786347558000063, '6': 0.6133072114412647, '7': 0.5842109074465187, '8': 0.6203561360573899, '9': 0.5783722747076819, '10': 0.6265998687999085, '11': 0.5936926451042039, '12': 0.6220087680379166, '13': 0.5966302156412067, '14': 0.6139466914187713, '15': 0.5885547538460444, '16': 0.6239030095735547, '17': 0.5848335758041904, '18': 0.6266504862955125, '19': 0.5842935747631419, '20': 0.6138434703757035, '21': 0.5999969457088297, '22': 0.6218190839904237, '23': 0.5812785154827883, '24': 0.6321584466733003, '25': 0.5998385608985783, '26': 0.6337596291395908, '27': 0.5967565264048014, '28': 0.6310067411628362, '29': 0.5852483660854289}","{'1': 0.6147869127586165, '2': 0.6101058300391864, '3': 0.6767723551229685, '4': 0.6347473780154937, '5': 0.6773173277261862, '6': 0.6275071972906461, '7': 0.6679719799008179, '8': 0.6205011513475844, '9': 0.6786337888612743, '10': 0.6104182235737072, '11': 0.6551087815488421, '12': 0.6131619517903273, '13': 0.6559898814031238, '14': 0.6257722828535393, '15': 0.6600114611276996, '16': 0.6101835739741727, '17': 0.659726789439153, '18': 0.608705487206347, '19': 0.6636516405434645, '20': 0.6254532102158985, '21': 0.6478557210472711, '22': 0.6187279697801494, '23': 0.6656513440919177, '24': 0.6052065048799595, '25': 0.6448803562937591, '26': 0.598153051041378, '27': 0.6539327716456771, '28': 0.6002812651278606, '29': 0.6637530583086201}"
dataset16_density,KNN,vector,1000,3,0.5308664725460861,0.6867214420678939,"{'1': 0.5514522389501639, '2': 0.629439862082245, '3': 0.4902417339950052, '4': 0.5758820878575288, '5': 0.4749767753495478, '6': 0.569625460563297, '7': 0.4801409205756761, '8': 0.5774787787744562, '9': 0.46764375371856987, '10': 0.5741779454032437, '11': 0.484408842095846, '12': 0.5714918867044403, '13': 0.5099246630414878, '14': 0.5799873874368631, '15': 0.48364274573114274, '16': 0.5724224009684254, '17': 0.4811890538115661, '18': 0.5786287621348764, '19': 0.4803466280324885, '20': 0.5755652154524808, '21': 0.47234374806058876, '22': 0.5703985307190651, '23': 0.48427056453371004, '24': 0.572508859848287, '25': 0.47380465875471534, '26': 0.5728738848996646, '27': 0.48100452445553765, '28': 0.5635083690181311, '29': 0.49574742086744655}","{'1': 0.6492851759167282, '2': 0.5423031222336165, '3': 0.7303113084696311, '4': 0.642327863138189, '5': 0.7466952112721854, '6': 0.6428231244251619, '7': 0.7516362803363681, '8': 0.636694976483388, '9': 0.7646984431231306, '10': 0.6334551322828511, '11': 0.7449578391593921, '12': 0.6444900153409788, '13': 0.7173705886614927, '14': 0.6345716399253605, '15': 0.7452758614209125, '16': 0.6415283104060142, '17': 0.7499821971178213, '18': 0.6295693936780558, '19': 0.7468518750405588, '20': 0.634335439867826, '21': 0.7542313320380323, '22': 0.6424767080444518, '23': 0.7438873711963969, '24': 0.634760849406599, '25': 0.7532265374223882, '26': 0.633749496436491, '27': 0.7488202358427221, '28': 0.6457314963648273, '29': 0.7288739949173495}"
dataset16_density,KNN,vector,1000,4,0.5794399061318386,0.6315034636185914,"{'1': 0.59155044079787, '2': 0.5482911457120826, '3': 0.5793306110667029, '4': 0.5608158318970968, '5': 0.5568615128800021, '6': 0.5527642195486125, '7': 0.6032119403991936, '8': 0.5667585168843828, '9': 0.5995164621514395, '10': 0.5739967789186927, '11': 0.5773261157059745, '12': 0.5790947262608098, '13': 0.5906930189177578, '14': 0.5733135380242034, '15': 0.6032642834651735, '16': 0.569397964875978, '17': 0.6002562994440832, '18': 0.5773256613563417, '19': 0.5923510432722863, '20': 0.5727248397280771, '21': 0.6055333678549907, '22': 0.5701494324571446, '23': 0.5711055312173283, '24': 0.5721063630227398, '25': 0.581010434442015, '26': 0.5649910329907808, '27': 0.5953128979803634, '28': 0.5867666437411909, '29': 0.5879366228100035}","{'1': 0.6003467987840808, '2': 0.6953971280059185, '3': 0.6368569934674189, '4': 0.6621408762679584, '5': 0.6634764672539972, '6': 0.6759680359742576, '7': 0.5979531147625662, '8': 0.6556380091203622, '9': 0.6088558515796353, '10': 0.6409410758941286, '11': 0.6361832165428092, '12': 0.6361253338817611, '13': 0.6140458730261933, '14': 0.6454953891231177, '15': 0.5975035894074339, '16': 0.6564355652655053, '17': 0.5960455128571682, '18': 0.6447501653203094, '19': 0.6005550224452006, '20': 0.6431174810781374, '21': 0.5855223052280966, '22': 0.6403555388131814, '23': 0.6376890984511836, '24': 0.636852012804743, '25': 0.6220361173738085, '26': 0.6471004024747848, '27': 0.610909956287198, '28': 0.61290884768889, '29': 0.6123946657593087}"
dataset16_density,KNN,vector,1000,5,0.5499905116607191,0.6582452716467976,"{'1': 0.5944527360945778, '2': 0.6323586518068398, '3': 0.5078860508383839, '4': 0.5770825123345777, '5': 0.4903222776341019, '6': 0.5729515078364188, '7': 0.49084120851764484, '8': 0.5610080109762882, '9': 0.527621323170988, '10': 0.5717789683375201, '11': 0.47275366265245033, '12': 0.5798217713918628, '13': 0.5004911817688101, '14': 0.5771453096649108, '15': 0.5238381070076473, '16': 0.5704110798354144, '17': 0.5237676910030972, '18': 0.5869571920841896, '19': 0.5149431695780123, '20': 0.5873533228462817, '21': 0.540150208612875, '22': 0.5859164229298904, '23': 0.5315412321977349, '24': 0.5867055326937508, '25': 0.5252249703477252, '26': 0.5814095754701417, '27': 0.5239528778612436, '28': 0.5849760637478103, '29': 0.5260622189196641}","{'1': 0.6543195198925251, '2': 0.5522447196286547, '3': 0.7175510684066606, '4': 0.6182407266802308, '5': 0.7318624269137755, '6': 0.6295976728370487, '7': 0.7251303338780688, '8': 0.6437551517699358, '9': 0.6839114952140364, '10': 0.6240868283309613, '11': 0.7498127490945401, '12': 0.6095131236153107, '13': 0.7182480922123866, '14': 0.6243414078894601, '15': 0.6903083485888821, '16': 0.6316218250027142, '17': 0.6891297527397288, '18': 0.6063349293619262, '19': 0.7118094451849752, '20': 0.6047618006425528, '21': 0.6688435424529342, '22': 0.6069169526315263, '23': 0.6889277165783493, '24': 0.6065923809681901, '25': 0.6935493162984256, '26': 0.6184975120668049, '27': 0.6895418340219397, '28': 0.6117843806969577, '29': 0.6878778241576278}"
dataset16_density,KNN,vector,1000,6,0.6420847557195692,0.6133858769085365,"{'1': 0.6669080839571523, '2': 0.6636654261472797, '3': 0.5956026978802537, '4': 0.6485861044973954, '5': 0.5850821290972755, '6': 0.6575695294707711, '7': 0.5841410527470845, '8': 0.6752134397737566, '9': 0.5988955939191283, '10': 0.6691071406867364, '11': 0.5943428284279988, '12': 0.6822750431639879, '13': 0.5871498513759474, '14': 0.6795231719785939, '15': 0.6029636286345127, '16': 0.6856545479521999, '17': 0.6066571078220121, '18': 0.6893847021168346, '19': 0.6083516906458276, '20': 0.6881233266941229, '21': 0.6055877105903951, '22': 0.6870079920534179, '23': 0.6044300493115903, '24': 0.7099301959055421, '25': 0.6233577220846819, '26': 0.6949226600215701, '27': 0.6138899445546443, '28': 0.6957680974824337, '29': 0.6163664468743609}","{'1': 0.5629823131742515, '2': 0.5637095220458892, '3': 0.6544490745460249, '4': 0.5906112906351259, '5': 0.665889215430727, '6': 0.5833995667627291, '7': 0.6784477307397208, '8': 0.5707727076738652, '9': 0.6677446187095266, '10': 0.5791432626150128, '11': 0.6685917607286658, '12': 0.5574558290383818, '13': 0.6792251316065941, '14': 0.5690139138577097, '15': 0.6668104879684214, '16': 0.5690669907622621, '17': 0.6590873276590118, '18': 0.5608925142563466, '19': 0.6610209852733148, '20': 0.5667881241457905, '21': 0.6648145786570415, '22': 0.5656424418641273, '23': 0.6666415074791063, '24': 0.5407695051488397, '25': 0.6500751152931364, '26': 0.5608019596097861, '27': 0.6525810569905315, '28': 0.5613298874182828, '29': 0.650432010257336}"
dataset16_density,KNN,vector,1000,7,0.5777741995249405,0.6462565878066071,"{'1': 0.5627629057871175, '2': 0.5951626456872976, '3': 0.5475103526201435, '4': 0.605742440268643, '5': 0.5395210042908671, '6': 0.6008785831928202, '7': 0.5307781902348776, '8': 0.6281145245785505, '9': 0.5386387027759545, '10': 0.6300226948140798, '11': 0.532545040342357, '12': 0.6370799934242439, '13': 0.5369221437423748, '14': 0.6261729847416112, '15': 0.5259290735418594, '16': 0.6179355783350114, '17': 0.5463614835308406, '18': 0.6244037416163143, '19': 0.5463106474722726, '20': 0.6186145203285737, '21': 0.53734174786538, '22': 0.6180541418758383, '23': 0.5498994802395202, '24': 0.6205161832982298, '25': 0.5343035101564679, '26': 0.6183286879864549, '27': 0.5314326068694227, '28': 0.6259333192751836, '29': 0.5282348573309658}","{'1': 0.6818288677574869, '2': 0.625808169442779, '3': 0.6885113280255082, '4': 0.6065147349439343, '5': 0.694705146493418, '6': 0.6148628956606912, '7': 0.7019822963954419, '8': 0.5832723592986313, '9': 0.693291841364624, '10': 0.581041085960931, '11': 0.7015032075349903, '12': 0.5698035047271104, '13': 0.6999369702051282, '14': 0.5836344462939793, '15': 0.712990624498373, '16': 0.59611771591268, '17': 0.6915726720554909, '18': 0.5898449035267177, '19': 0.6869765734419441, '20': 0.598069188134384, '21': 0.693397909396414, '22': 0.5934989295718698, '23': 0.6766567048257983, '24': 0.592238858183052, '25': 0.7013192014021412, '26': 0.5928478145633788, '27': 0.7054207216691093, '28': 0.5798579984226218, '29': 0.7039343766829822}"
dataset16_density,KNN,vector,1000,8,0.5735463229466183,0.6198838946479399,"{'1': 0.6151220792233001, '2': 0.5906044953588576, '3': 0.5365263519896915, '4': 0.577144136090291, '5': 0.5366642162037419, '6': 0.5856701833779945, '7': 0.5489916793526919, '8': 0.5956890637329777, '9': 0.5607071042210244, '10': 0.5821029079873079, '11': 0.5467717536738971, '12': 0.5923970970677558, '13': 0.5447228940740717, '14': 0.5943363909537257, '15': 0.5512548374545788, '16': 0.5968981865189972, '17': 0.5517803996514518, '18': 0.6078234318307484, '19': 0.5428836684242819, '20': 0.5902364083710978, '21': 0.541860827145563, '22': 0.6011028349433537, '23': 0.5544123998133008, '24': 0.6097064338207296, '25': 0.5680004883909602, '26': 0.6103500962765794, '27': 0.557196079442507, '28': 0.5989970032345687, '29': 0.5428899168258842}","{'1': 0.5577831309360874, '2': 0.6079187842923375, '3': 0.6584947953011508, '4': 0.6231513285009382, '5': 0.6741442548157963, '6': 0.6148488655011564, '7': 0.6633720097910443, '8': 0.5994520533089378, '9': 0.6339296715422997, '10': 0.616012870746177, '11': 0.6498673552089744, '12': 0.6035569970799317, '13': 0.6489651717864839, '14': 0.5896663299179186, '15': 0.6498256284764973, '16': 0.5851946088631816, '17': 0.6432204549954776, '18': 0.5726490347243015, '19': 0.6549197796010597, '20': 0.5921540133703957, '21': 0.6563605088714544, '22': 0.5800773692369188, '23': 0.6396867931144261, '24': 0.5772401227233437, '25': 0.6235780806576918, '26': 0.5719907580657058, '27': 0.6412825557407731, '28': 0.5881934803072324, '29': 0.6590961373125617}"
dataset16_density,KNN,vector,1000,9,0.5928742054972489,0.6367552577114305,"{'1': 0.6298802482031414, '2': 0.6281317918061808, '3': 0.5874567543984729, '4': 0.6065309527118853, '5': 0.5482976412625152, '6': 0.6149857967048901, '7': 0.558046445072875, '8': 0.6107427280181386, '9': 0.5740935407333895, '10': 0.6113446563870167, '11': 0.5628529799192308, '12': 0.6336003047369385, '13': 0.5677869537682402, '14': 0.6252746463776236, '15': 0.5763453148357781, '16': 0.6247116960020863, '17': 0.574882158997429, '18': 0.6098265430832032, '19': 0.557999309397373, '20': 0.6197017868281885, '21': 0.5596510939274556, '22': 0.6105570407984124, '23': 0.5612938083802487, '24': 0.6216591093994697, '25': 0.5511437350663968, '26': 0.6257459064594859, '27': 0.5601233747372558, '28': 0.6177808330835194, '29': 0.5629048083233817}","{'1': 0.6133089445186208, '2': 0.616379126249688, '3': 0.64933959448558, '4': 0.6273390600743661, '5': 0.7011715964240739, '6': 0.609955539950386, '7': 0.6728944734670438, '8': 0.6299441373377551, '9': 0.6516959330269431, '10': 0.6188079180652482, '11': 0.6732404573426927, '12': 0.5862007064191472, '13': 0.6651833566243794, '14': 0.6018842519069654, '15': 0.6507098696541855, '16': 0.5983040352798559, '17': 0.65307757910873, '18': 0.6127301500630393, '19': 0.6745734832009017, '20': 0.5957200613109247, '21': 0.6685096064849596, '22': 0.6184617722712517, '23': 0.6662853671232739, '24': 0.5973167461966413, '25': 0.6832339195591337, '26': 0.591906135049462, '27': 0.6666343872930036, '28': 0.6023230715051178, '29': 0.6687711936381109}"
