Dataset,Model,Model variation,Number of individuals,Execution,RMSE,R2,RMSE by iteration,R2 by iteration
dataset9_density,KNN,vector,100,0,0.2840660345774021,0.913348058013834,"{'1': 0.3873199608665887, '2': 0.3659311959798317, '3': 0.31216975339748715, '4': 0.2515065973263651, '5': 0.26837188102119863, '6': 0.23196611577293136, '7': 0.2574043527727755, '8': 0.2266738305366901, '9': 0.2552506235227504}","{'1': 0.8395334361579221, '2': 0.8723916384728545, '3': 0.9025941439144469, '4': 0.9353535179897358, '5': 0.9246045328545941, '6': 0.9431094564978276, '7': 0.928748476663319, '8': 0.9446243122358153, '9': 0.9291730073379928}"
dataset9_density,KNN,vector,100,1,0.449925647929204,0.7768210543366819,"{'1': 0.4493456675117062, '2': 0.4043687743783956, '3': 0.40436175923271894, '4': 0.40515700328910514, '5': 0.4448975614745063, '6': 0.47647855719334314, '7': 0.4858893746134844, '8': 0.48104462674184884, '9': 0.49778750692772666}","{'1': 0.7828816150345516, '2': 0.8181053802744351, '3': 0.810299290530822, '4': 0.8124525682875517, '5': 0.7756972998079124, '6': 0.75920090242053, '7': 0.7438855285893292, '8': 0.7556690524658191, '9': 0.7331978516191862}"
dataset9_density,DecisionTree,vector,100,0,0.4882613640237079,0.7515815224347056,"{'1': 0.47069779010571305, '2': 0.5171140275002561, '3': 0.48689674575144104, '4': 0.5058335975026048, '5': 0.48437608957980344, '6': 0.4904121740305188, '7': 0.47570158558899256, '8': 0.487468358375009, '9': 0.47585190777903213}","{'1': 0.7630104954741315, '2': 0.7451686236181148, '3': 0.7630388391266781, '4': 0.7385061516871179, '5': 0.7543953360622871, '6': 0.7457192596281265, '7': 0.7566498722670668, '8': 0.7439002070699932, '9': 0.753844916978834}"
dataset9_density,DecisionTree,vector,100,1,0.4338338842182371,0.7898391322422911,"{'1': 0.5706317782755903, '2': 0.4860031953366583, '3': 0.39920916989518684, '4': 0.4148737179908568, '5': 0.37237751419252463, '6': 0.4453541654359929, '7': 0.395248086614504, '8': 0.4345960313472699, '9': 0.3862112988755503}","{'1': 0.6498554347454106, '2': 0.7372499065985922, '3': 0.8151030200712853, '4': 0.803348950933933, '5': 0.8428619541620616, '6': 0.7896322459343293, '7': 0.8305276441373945, '8': 0.8005751585121795, '9': 0.8393978750854342}"
dataset9_density,RandomForest,vector,100,0,0.2969347509172628,0.9016153582830212,"{'1': 0.48643082753586525, '2': 0.39424490304397025, '3': 0.288540929279935, '4': 0.23729807795990313, '5': 0.2558918930091356, '6': 0.2353616511222156, '7': 0.2604218148282525, '8': 0.2459573907287649, '9': 0.2682652707473228}","{'1': 0.7469030128393837, '2': 0.8518804319507465, '3': 0.9167818077565872, '4': 0.942451425035593, '5': 0.931453660084985, '6': 0.9414317313122983, '7': 0.9270681713866442, '8': 0.9348017228302524, '9': 0.9217662613506986}"
dataset9_density,RandomForest,vector,100,1,0.3719080286586915,0.8478138856571691,"{'1': 0.36902515445916856, '2': 0.3676190705184353, '3': 0.3317366620698995, '4': 0.3480387666000148, '5': 0.35189532975180204, '6': 0.39850716673457937, '7': 0.3830569999904624, '8': 0.40019576272996515, '9': 0.3970973450738966}","{'1': 0.8535641461596262, '2': 0.8496647946621931, '3': 0.8723220969229666, '4': 0.8616052349908034, '5': 0.8596729300642076, '6': 0.8315618723086411, '7': 0.8408208723158761, '8': 0.8308964537019361, '9': 0.830216569788272}"
dataset9_density,NeuralNetwork,vector,100,0,0.1961497146769374,0.9498342965181704,"{'1': 0.33693827121913816, '2': 0.42407914160520815, '3': 0.21207994385981563, '4': 0.17941472967931593, '5': 0.12083162517985917, '6': 0.13284115210557898, '7': 0.10966050226849257, '8': 0.136071933642024, '9': 0.11343013253300437}","{'1': 0.878564551598786, '2': 0.8286144957664652, '3': 0.9550424511807909, '4': 0.9671025433744023, '5': 0.9847161611608234, '6': 0.9813423797638252, '7': 0.987068084982307, '8': 0.9800449197653288, '9': 0.9860130810708041}"
dataset9_density,NeuralNetwork,vector,100,1,0.2127678203829509,0.9460587916739656,"{'1': 0.25889181006711365, '2': 0.12585841982218332, '3': 0.14197744014871827, '4': 0.15662476000593234, '5': 0.16988803135845204, '6': 0.19809524484638116, '7': 0.2473169403447782, '8': 0.2871696813483192, '9': 0.32908805550467984}","{'1': 0.9279270818782469, '2': 0.9823790556592293, '3': 0.9766133786754785, '4': 0.9719724421367902, '5': 0.9672930521352164, '6': 0.9583786431152443, '7': 0.9336460097916565, '8': 0.9129267176992256, '9': 0.8833927439746031}"
dataset9_density,KNN,vector,1000,0,0.1974721701188774,0.9590870482099318,"{'1': 0.2076770154784042, '2': 0.1692471853495757, '3': 0.16489309666886784, '4': 0.17888419917640438, '5': 0.18029273936934134, '6': 0.19787333743193788, '7': 0.20742012472434965, '8': 0.23517911674579262, '9': 0.2357827161252238}","{'1': 0.9578509260186142, '2': 0.9713841562194824, '3': 0.972068560461318, '4': 0.9666757278868389, '5': 0.9657429705091367, '6': 0.9588336051521075, '7': 0.9547740447139836, '8': 0.9423944076978502, '9': 0.9420590352300564}"
dataset9_density,KNN,vector,1000,1,0.209450978328528,0.9592330943288004,"{'1': 0.14769800532155908, '2': 0.18591741975330855, '3': 0.20377430189110496, '4': 0.22287938551093503, '5': 0.22583062186378708, '6': 0.22699365547005218, '7': 0.22559653605453608, '8': 0.22269953892049782, '9': 0.22366934017097195}","{'1': 0.978413417600962, '2': 0.9676440442215525, '3': 0.9622065060828656, '4': 0.9553052950656781, '5': 0.9540210269200053, '6': 0.9532865235458188, '7': 0.9536084054032444, '8': 0.954552973972696, '9': 0.9540596561463802}"
