Dataset,Model,MSE,R2,CV MSE,CV R2,MSE by iteration,R2 by iteration
dataset3_density,KNN,0.0052000933333333,0.9675375806283985,-0.0058970008888888,0.9597625990131272,"{'1': 0.0036506800000000008, '2': 0.00483188, '3': 0.00475492, '4': 0.005278799999999999, '5': 0.00536208, '6': 0.005375560000000001, '7': 0.00563308, '8': 0.005881000000000001, '9': 0.006032839999999999}","{'1': 0.9644054873589891, '2': 0.9669404795487373, '3': 0.9699155393820124, '4': 0.9682545333570356, '5': 0.9686354996392141, '6': 0.9689605984442998, '7': 0.9678893196537204, '8': 0.9667279492467991, '9': 0.9661088190247766}"
dataset3_density,DecisionTree,0.0036260308641975,0.9773001121327608,-0.0040472388888888,0.9720275097497248,"{'1': 0.002722027777777777, '2': 0.003465249999999999, '3': 0.0031034999999999995, '4': 0.003344249999999999, '5': 0.0036929999999999997, '6': 0.0037839999999999996, '7': 0.0041597499999999985, '8': 0.004037749999999999, '9': 0.004324749999999999}","{'1': 0.9734599438610632, '2': 0.9762909047319598, '3': 0.9803641021241315, '4': 0.9798884638893813, '5': 0.978398475995811, '6': 0.978150537713881, '7': 0.9762878562757077, '8': 0.9771562280345627, '9': 0.9757044965683497}"
dataset3_density,RandomForest,0.0028975908785945,0.9820669504099412,-0.0028083076765966,0.9808056735361266,"{'1': 0.0018157914917062018, '2': 0.002393145125269268, '3': 0.002416976156113948, '4': 0.0028760110168231244, '5': 0.0030649756564949003, '6': 0.003076692112645689, '7': 0.0034134855941258496, '8': 0.003426672011117904, '9': 0.0035945687430544142}","{'1': 0.9822958426361729, '2': 0.9836262013519212, '3': 0.9847077502916505, '4': 0.9827043434493906, '5': 0.9820719888394179, '6': 0.9822346542597116, '7': 0.9805418448203105, '8': 0.9806134322277694, '9': 0.9798064958131264}"
dataset3_density,NeuralNetwork,0.0015978662107178,0.99006387840917,-0.0027162283323609,0.9818438874926828,"{'1': 0.001174437217621243, '2': 0.0010756455085066396, '3': 0.001294676511926011, '4': 0.0016545225358548354, '5': 0.001682605768880202, '6': 0.001704379308633806, '7': 0.0019468982874951669, '8': 0.0019276789790157558, '9': 0.0019199517785268593}","{'1': 0.9885491140311687, '2': 0.9926404785121352, '3': 0.9918085594424151, '4': 0.9900500890406887, '5': 0.9901579071470207, '6': 0.9901586227734578, '7': 0.9889019455472892, '8': 0.9890940600534449, '9': 0.9892141291349089}"
dataset8_density,KNN,5.238529448733282e-33,1.0,,,"{'1': 5.2385294487332814e-33, '2': 5.2385294487332814e-33, '3': 5.2385294487332814e-33, '4': 5.2385294487332814e-33, '5': 5.2385294487332814e-33, '6': 5.2385294487332814e-33, '7': 5.2385294487332814e-33, '8': 5.2385294487332814e-33, '9': 5.2385294487332814e-33}","{'1': 1.0, '2': 1.0, '3': 1.0, '4': 1.0, '5': 1.0, '6': 1.0, '7': 1.0, '8': 1.0, '9': 1.0}"
dataset8_density,DecisionTree,2.9585365433698963e-30,1.0,,,"{'1': 2.9585365433698963e-30, '2': 2.9585365433698963e-30, '3': 2.9585365433698963e-30, '4': 2.9585365433698963e-30, '5': 2.9585365433698963e-30, '6': 2.9585365433698963e-30, '7': 2.9585365433698963e-30, '8': 2.9585365433698963e-30, '9': 2.9585365433698963e-30}","{'1': 1.0, '2': 1.0, '3': 1.0, '4': 1.0, '5': 1.0, '6': 1.0, '7': 1.0, '8': 1.0, '9': 1.0}"
dataset8_density,RandomForest,2.484911851446187e-30,1.0,,,"{'1': 2.484911851446187e-30, '2': 2.484911851446187e-30, '3': 2.484911851446187e-30, '4': 2.484911851446187e-30, '5': 2.484911851446187e-30, '6': 2.484911851446187e-30, '7': 2.484911851446187e-30, '8': 2.484911851446187e-30, '9': 2.484911851446187e-30}","{'1': 1.0, '2': 1.0, '3': 1.0, '4': 1.0, '5': 1.0, '6': 1.0, '7': 1.0, '8': 1.0, '9': 1.0}"
dataset8_density,NeuralNetwork,8.119901677490423e-09,0.9999999917048766,,,"{'1': 3.8532527034965025e-09, '2': 9.249200703196665e-10, '3': 2.5602107492766027e-08, '4': 2.2305338706108217e-08, '5': 7.651804873018098e-09, '6': 2.9347820176802956e-09, '7': 4.784927839108927e-09, '8': 3.972760147444811e-09, '9': 1.049221247471264e-09}","{'1': 0.9999999960635969, '2': 0.9999999990551208, '3': 0.9999999738454174, '4': 0.999999977213328, '5': 0.9999999921830747, '6': 0.9999999970018875, '7': 0.9999999951118168, '8': 0.9999999959415106, '9': 0.9999999989281373}"
dataset9_density,KNN,0.0549833511111111,0.6947062080827087,-0.0639123057777777,0.6270244615110933,"{'1': 0.052939, '2': 0.054920559999999986, '3': 0.05482239999999999, '4': 0.05403372, '5': 0.054820240000000006, '6': 0.05467024, '7': 0.05586832, '8': 0.05589068, '9': 0.056885000000000005}","{'1': 0.6328987972181053, '2': 0.6759231596390842, '3': 0.6916018338818104, '4': 0.7054274004310397, '5': 0.7080469668465401, '6': 0.7115820785160136, '7': 0.7093209883737386, '8': 0.7103421869733204, '9': 0.7072124608647261}"
dataset9_density,DecisionTree,0.0135844722222222,0.9253463406344844,-0.0261199419753086,0.8495384456969693,"{'1': 0.010183250000000001, '2': 0.011059, '3': 0.011531, '4': 0.014734999999999998, '5': 0.015298, '6': 0.015279999999999995, '7': 0.015055999999999998, '8': 0.014776000000000001, '9': 0.014341999999999999}","{'1': 0.9293850786144671, '2': 0.9347427306358244, '3': 0.9351334627176329, '4': 0.9196700272598549, '5': 0.9185283117844499, '6': 0.9193889428640645, '7': 0.9216646715160759, '8': 0.9234222262945769, '9': 0.9261816140234139}"
dataset9_density,RandomForest,0.0089379638608703,0.9509615385257422,-0.0127114444693943,0.9265689969725802,"{'1': 0.005528964689500001, '2': 0.007977580975000004, '3': 0.009249761147222231, '4': 0.010242742980555561, '5': 0.010150447122222229, '6': 0.009253995288888902, '7': 0.009714681763888892, '8': 0.009115223500000009, '9': 0.009208277280555555}","{'1': 0.9616598426934004, '2': 0.9529256577846009, '3': 0.947966353628542, '4': 0.9441602127986196, '5': 0.9459423412740151, '6': 0.9511796895963154, '7': 0.949455181516271, '8': 0.9527596424974719, '9': 0.9526049249424433}"
dataset9_density,NeuralNetwork,0.0073840993714916,0.9594255872000146,-0.0116941784673902,0.9309701855055575,"{'1': 0.0073608957046946534, '2': 0.004257785547593669, '3': 0.004566546460141361, '4': 0.004903909732309975, '5': 0.006795863194163047, '6': 0.007458087041384072, '7': 0.009572952246382112, '8': 0.010181220266183606, '9': 0.011359634150572683}","{'1': 0.9489564656161716, '2': 0.9748755350054965, '3': 0.9743113297885334, '4': 0.9732656304637535, '5': 0.9638076580395879, '6': 0.9606541701166367, '7': 0.9501925904103837, '8': 0.9472350310240338, '9': 0.9415318743355332}"
dataset10_density,KNN,0.0567480993103448,0.7046078636519322,-0.065923132413793,0.6380791231506366,"{'1': 0.052939, '2': 0.054920559999999986, '3': 0.05482239999999999, '4': 0.05403372, '5': 0.054820240000000006, '6': 0.05467024, '7': 0.05586832, '8': 0.05589068, '9': 0.056885000000000005, '10': 0.056905880000000006, '11': 0.05764360000000001, '12': 0.05708648000000001, '13': 0.057669040000000005, '14': 0.05709332000000002, '15': 0.05786728000000001, '16': 0.057359600000000004, '17': 0.05792064000000001, '18': 0.05732008, '19': 0.057896400000000015, '20': 0.05732008, '21': 0.057896400000000015, '22': 0.05732008, '23': 0.057896400000000015, '24': 0.05732008, '25': 0.057896400000000015, '26': 0.05732008, '27': 0.057896400000000015, '28': 0.05732008, '29': 0.057896400000000015}","{'1': 0.6328987972181053, '2': 0.6759231596390842, '3': 0.6916018338818104, '4': 0.7054274004310397, '5': 0.7080469668465401, '6': 0.7115820785160136, '7': 0.7093209883737386, '8': 0.7103421869733204, '9': 0.7072124608647261, '10': 0.7083289766592982, '11': 0.7058509401389446, '12': 0.708593459952152, '13': 0.7067934351548677, '14': 0.7100224365282424, '15': 0.7080782828889209, '16': 0.7105310117516348, '17': 0.7082797717173412, '18': 0.7107304520269431, '19': 0.7084018577014322, '20': 0.7107304520269431, '21': 0.7084018577014322, '22': 0.7107304520269431, '23': 0.7084018577014322, '24': 0.7107304520269431, '25': 0.7084018577014322, '26': 0.7107304520269431, '27': 0.7084018577014322, '28': 0.7107304520269431, '29': 0.7084018577014322}"
dataset10_density,DecisionTree,0.0108940775862068,0.9429692599921148,-0.0342441164750957,0.8092177948628221,"{'1': 0.01138925, '2': 0.012412, '3': 0.012308, '4': 0.015516999999999998, '5': 0.014381000000000001, '6': 0.013047, '7': 0.012477, '8': 0.012535000000000003, '9': 0.012035, '10': 0.011489000000000001, '11': 0.011118999999999999, '12': 0.010607, '13': 0.010308, '14': 0.009967, '15': 0.009800999999999999, '16': 0.00975, '17': 0.009768, '18': 0.009735, '19': 0.009768, '20': 0.009735, '21': 0.009768, '22': 0.009735, '23': 0.009768, '24': 0.009735, '25': 0.009768, '26': 0.009735, '27': 0.009768, '28': 0.009735, '29': 0.009768}","{'1': 0.9210221694066059, '2': 0.9267589088210374, '3': 0.9307625235563807, '4': 0.9154068417367607, '5': 0.9234119265114508, '6': 0.9311693414625294, '7': 0.9350830304533793, '8': 0.9350363837711506, '9': 0.938055761035545, '10': 0.9411131435422609, '11': 0.9432609448994325, '12': 0.9458549700334034, '13': 0.9475910597710032, '14': 0.9493775037933858, '15': 0.9505571240015829, '16': 0.9507959847101172, '17': 0.950802974727748, '18': 0.9508716831951786, '19': 0.950802974727748, '20': 0.9508716831951786, '21': 0.950802974727748, '22': 0.9508716831951786, '23': 0.950802974727748, '24': 0.9508716831951786, '25': 0.950802974727748, '26': 0.9508716831951786, '27': 0.950802974727748, '28': 0.9508716831951786, '29': 0.950802974727748}"
dataset10_density,RandomForest,0.0097167085895756,0.9496767565667332,-0.0195443664204518,0.8925374390233543,"{'1': 0.006168352793527776, '2': 0.008078006637500001, '3': 0.008630716737500007, '4': 0.009784854320833333, '5': 0.009608713350000006, '6': 0.008931188933333336, '7': 0.009263080304166673, '8': 0.008793576750000006, '9': 0.008770192837500001, '10': 0.008496479833333332, '11': 0.008932141037499994, '12': 0.008808106470833334, '13': 0.009373197937499996, '14': 0.009465866883333333, '15': 0.010519251099999995, '16': 0.010429191270833334, '17': 0.010759274449999997, '18': 0.010407549237500003, '19': 0.010754510337499993, '20': 0.010407549237500003, '21': 0.010754510337499993, '22': 0.010407549237500003, '23': 0.010754510337499993, '24': 0.010407549237500003, '25': 0.010754510337499993, '26': 0.010407549237500003, '27': 0.010754510337499993, '28': 0.010407549237500003, '29': 0.010754510337499993}","{'1': 0.9572260577327281, '2': 0.9523330631097806, '3': 0.9514487287289398, '4': 0.946656458713347, '5': 0.9488274220026282, '6': 0.9528826844635623, '7': 0.9518048327311461, '8': 0.9544266018934238, '9': 0.9548597489912379, '10': 0.9564513022594155, '11': 0.9544202497982954, '12': 0.9550376931448812, '13': 0.9523438717053752, '14': 0.9519227640820853, '15': 0.946933779437454, '16': 0.9473684013588517, '17': 0.9458103709021555, '18': 0.9474776193013171, '19': 0.9458343655953437, '20': 0.9474776193013171, '21': 0.9458343655953437, '22': 0.9474776193013171, '23': 0.9458343655953437, '24': 0.9474776193013171, '25': 0.9458343655953437, '26': 0.9474776193013171, '27': 0.9458343655953437, '28': 0.9474776193013171, '29': 0.9458343655953437}"
dataset10_density,NeuralNetwork,0.0236631589991084,0.8776635736520164,-0.0207010209662085,0.8864028194590416,"{'1': 0.01677622683943648, '2': 0.0175616023345212, '3': 0.01732143106166897, '4': 0.01676524412079082, '5': 0.01722797224967313, '6': 0.01683299128335945, '7': 0.020157237293970846, '8': 0.019946807337309143, '9': 0.0228214900867121, '10': 0.02188047934015138, '11': 0.02438214631268094, '12': 0.024500678485885986, '13': 0.024401428267742303, '14': 0.02582469335327199, '15': 0.026327229265827284, '16': 0.025695260436382324, '17': 0.027380244208553752, '18': 0.026746760206347267, '19': 0.027088371461785794, '20': 0.026391324930188333, '21': 0.02699285677202036, '22': 0.026337290755277465, '23': 0.025965916972630874, '24': 0.026792469077032085, '25': 0.02797831561359751, '26': 0.025948393350064443, '27': 0.027147721278476346, '28': 0.025871539884085172, '29': 0.02716748839470142}","{'1': 0.8836666153327597, '2': 0.8963719853503584, '3': 0.9025599467742864, '4': 0.9086018593006444, '5': 0.9082499683807348, '6': 0.911195993317304, '7': 0.8951232860818535, '8': 0.896624113533965, '9': 0.8825376123426477, '10': 0.8878516279806755, '11': 0.8755805429350387, '12': 0.8749325944357266, '13': 0.875935875476692, '14': 0.8688361150483611, '15': 0.8671876408558108, '16': 0.870327180780587, '17': 0.8620980173742168, '18': 0.8650207181386729, '19': 0.8635680492025363, '20': 0.8668144456015127, '21': 0.8640491137609169, '22': 0.8670871326136655, '23': 0.8692213479197668, '24': 0.8647900453210258, '25': 0.8590858005408273, '26': 0.8690497289082602, '27': 0.86326913085368, '28': 0.8694375749713499, '29': 0.8631695727745967}"
