,id,B,S,size,density,iterations,file,density_evolution
0,0,5,0,10,0.5,10,./data2/dataset3/individuals/ca_0,"[0.005, 0.0068, 0.008, 0.0091, 0.0097, 0.01, 0.01, 0.01, 0.01, 0.01]"
1,1,3,3,10,0.5,10,./data2/dataset3/individuals/ca_1,"[0.005, 0.0091, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]"
2,2,7,9,10,0.5,10,./data2/dataset3/individuals/ca_2,"[0.0056, 0.0003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
3,3,3,5,10,0.5,10,./data2/dataset3/individuals/ca_3,"[0.0056, 0.0066, 0.007, 0.0074, 0.0082, 0.0088, 0.0093, 0.0096, 0.0099, 0.01]"
4,4,2,4,10,0.5,10,./data2/dataset3/individuals/ca_4,"[0.0054, 0.0087, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]"
5,5,7,6,10,0.5,10,./data2/dataset3/individuals/ca_5,"[0.0051, 0.0008, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
6,6,8,8,10,0.5,10,./data2/dataset3/individuals/ca_6,"[0.0049, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
7,7,1,6,10,0.5,10,./data2/dataset3/individuals/ca_7,"[0.0047, 0.0053, 0.0055, 0.0047, 0.0053, 0.0047, 0.0053, 0.0047, 0.0053, 0.0047]"
8,8,7,7,10,0.5,10,./data2/dataset3/individuals/ca_8,"[0.0045, 0.0002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
9,9,8,1,10,0.5,10,./data2/dataset3/individuals/ca_9,"[0.0047, 0.0047, 0.0047, 0.0047, 0.0047, 0.0047, 0.0047, 0.0047, 0.0047, 0.0047]"
10,10,5,9,10,0.5,10,./data2/dataset3/individuals/ca_10,"[0.0044, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
11,11,8,9,10,0.5,10,./data2/dataset3/individuals/ca_11,"[0.0046, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
12,12,4,3,10,0.5,10,./data2/dataset3/individuals/ca_12,"[0.0057, 0.0087, 0.0094, 0.0099, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]"
13,13,0,3,10,0.5,10,./data2/dataset3/individuals/ca_13,"[0.0045, 0.0089, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]"
14,14,5,0,10,0.5,10,./data2/dataset3/individuals/ca_14,"[0.0048, 0.0065, 0.0076, 0.0083, 0.0088, 0.0093, 0.0097, 0.01, 0.01, 0.01]"
15,15,2,3,10,0.5,10,./data2/dataset3/individuals/ca_15,"[0.0054, 0.0096, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]"
16,16,8,1,10,0.5,10,./data2/dataset3/individuals/ca_16,"[0.0052, 0.0052, 0.0052, 0.0052, 0.0052, 0.0052, 0.0052, 0.0052, 0.0052, 0.0052]"
17,17,3,3,10,0.5,10,./data2/dataset3/individuals/ca_17,"[0.0042, 0.0072, 0.0095, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]"
18,18,3,7,10,0.5,10,./data2/dataset3/individuals/ca_18,"[0.0046, 0.0045, 0.0052, 0.0048, 0.0052, 0.0048, 0.0052, 0.0048, 0.0052, 0.0048]"
19,19,0,1,10,0.5,10,./data2/dataset3/individuals/ca_19,"[0.0057, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]"
20,20,9,9,10,0.5,10,./data2/dataset3/individuals/ca_20,"[0.0041, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
21,21,0,4,10,0.5,10,./data2/dataset3/individuals/ca_21,"[0.0047, 0.0078, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]"
22,22,7,3,10,0.5,10,./data2/dataset3/individuals/ca_22,"[0.0052, 0.0049, 0.0044, 0.0041, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004]"
23,23,2,7,10,0.5,10,./data2/dataset3/individuals/ca_23,"[0.0055, 0.0045, 0.0055, 0.0045, 0.0055, 0.0045, 0.0055, 0.0045, 0.0055, 0.0045]"
24,24,2,0,10,0.5,10,./data2/dataset3/individuals/ca_24,"[0.0052, 0.0099, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]"
25,25,0,4,10,0.5,10,./data2/dataset3/individuals/ca_25,"[0.0052, 0.0079, 0.0098, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]"
26,26,5,5,10,0.5,10,./data2/dataset3/individuals/ca_26,"[0.0048, 0.0026, 0.0005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
27,27,6,8,10,0.5,10,./data2/dataset3/individuals/ca_27,"[0.0054, 0.0009, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
28,28,4,1,10,0.5,10,./data2/dataset3/individuals/ca_28,"[0.0053, 0.009, 0.0099, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]"
29,29,4,9,10,0.5,10,./data2/dataset3/individuals/ca_29,"[0.0049, 0.0031, 0.0022, 0.0011, 0.0005, 0.0, 0.0, 0.0, 0.0, 0.0]"
30,30,8,1,10,0.5,10,./data2/dataset3/individuals/ca_30,"[0.0054, 0.0053, 0.0053, 0.0053, 0.0053, 0.0053, 0.0053, 0.0053, 0.0053, 0.0053]"
31,31,1,7,10,0.5,10,./data2/dataset3/individuals/ca_31,"[0.0052, 0.0049, 0.0051, 0.0049, 0.0051, 0.0049, 0.0051, 0.0049, 0.0051, 0.0049]"
32,32,9,9,10,0.5,10,./data2/dataset3/individuals/ca_32,"[0.0055, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
33,33,3,6,10,0.5,10,./data2/dataset3/individuals/ca_33,"[0.0052, 0.0051, 0.0049, 0.0051, 0.0049, 0.0051, 0.0049, 0.0051, 0.0049, 0.0051]"
34,34,7,2,10,0.5,10,./data2/dataset3/individuals/ca_34,"[0.006, 0.0063, 0.0064, 0.0065, 0.0066, 0.0067, 0.0068, 0.0069, 0.0069, 0.0069]"
35,35,0,3,10,0.5,10,./data2/dataset3/individuals/ca_35,"[0.0056, 0.0095, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]"
36,36,5,9,10,0.5,10,./data2/dataset3/individuals/ca_36,"[0.0047, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
