,id,B,S,0,1,2,3,4,5,6,7,8,9
0,0,5,0,0.57,0.76,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1,3,3,0.56,0.93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,2,7,9,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,3,5,0.49,0.59,0.64,0.68,0.7,0.74,0.76,0.79,0.85,0.9
4,4,2,4,0.45,0.78,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,5,7,6,0.42,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,8,8,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,1,6,0.46,0.59,0.51,0.5,0.5,0.5,0.5,0.5,0.5,0.5
8,8,7,7,0.46,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,8,1,0.55,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56
10,10,5,9,0.47,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,8,9,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12,4,3,0.53,0.84,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,13,0,3,0.5,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,14,5,0,0.43,0.54,0.61,0.68,0.72,0.79,0.86,0.94,0.98,1.0
15,15,2,3,0.5,0.87,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,16,8,1,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54
17,17,3,3,0.43,0.78,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,18,3,7,0.44,0.41,0.52,0.48,0.52,0.48,0.52,0.48,0.52,0.48
19,19,0,1,0.54,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,20,9,9,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,21,0,4,0.51,0.79,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,22,7,3,0.51,0.46,0.41,0.36,0.33,0.3,0.3,0.3,0.3,0.3
23,23,2,7,0.49,0.49,0.51,0.49,0.51,0.49,0.51,0.49,0.51,0.49
24,24,2,0,0.53,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,25,0,4,0.52,0.88,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,26,5,5,0.51,0.37,0.26,0.14,0.08,0.03,0.0,0.0,0.0,0.0
27,27,6,8,0.52,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,28,4,1,0.53,0.8,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,29,4,9,0.54,0.32,0.26,0.16,0.1,0.06,0.02,0.0,0.0,0.0
30,30,8,1,0.54,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55
31,31,1,7,0.6,0.45,0.55,0.45,0.55,0.45,0.55,0.45,0.55,0.45
32,32,9,9,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,33,3,6,0.51,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
34,34,7,2,0.43,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44
35,35,0,3,0.53,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
36,36,5,9,0.54,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,37,4,4,0.45,0.58,0.73,0.82,0.88,0.93,0.98,1.0,1.0,1.0
38,38,6,4,0.52,0.4,0.33,0.32,0.31,0.29,0.26,0.24,0.24,0.24
39,39,4,3,0.55,0.93,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0
40,40,4,4,0.55,0.76,0.91,0.99,1.0,1.0,1.0,1.0,1.0,1.0
41,41,8,4,0.51,0.34,0.23,0.19,0.15,0.12,0.12,0.12,0.12,0.12
42,42,3,7,0.52,0.43,0.53,0.47,0.53,0.47,0.53,0.47,0.53,0.47
43,43,5,5,0.56,0.5,0.43,0.39,0.32,0.23,0.14,0.07,0.02,0.0
44,44,0,1,0.53,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
45,45,5,9,0.46,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,46,3,0,0.53,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
47,47,5,0,0.39,0.48,0.53,0.58,0.61,0.64,0.66,0.67,0.68,0.71
48,48,1,2,0.48,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
49,49,4,2,0.57,0.89,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,50,0,3,0.52,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
51,51,2,0,0.52,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
52,52,7,5,0.52,0.27,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,53,9,0,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
54,54,2,7,0.48,0.53,0.47,0.53,0.47,0.53,0.47,0.53,0.47,0.53
55,55,2,9,0.44,0.54,0.46,0.54,0.46,0.54,0.46,0.54,0.46,0.54
56,56,2,3,0.51,0.93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
57,57,3,2,0.52,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
58,58,3,4,0.61,0.91,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
59,59,1,2,0.52,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
60,60,9,1,0.48,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47
61,61,4,6,0.51,0.41,0.34,0.29,0.24,0.17,0.12,0.06,0.0,0.0
62,62,8,2,0.52,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51
63,63,3,0,0.52,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
64,64,0,6,0.45,0.59,0.54,0.5,0.5,0.5,0.5,0.5,0.5,0.5
65,65,0,6,0.46,0.62,0.53,0.56,0.5,0.51,0.49,0.51,0.49,0.51
66,66,3,3,0.44,0.8,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0
67,67,8,8,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,68,8,2,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56
69,69,3,2,0.53,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
70,70,0,8,0.49,0.52,0.48,0.52,0.48,0.52,0.48,0.52,0.48,0.52
71,71,8,3,0.53,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
72,72,8,2,0.51,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48
73,73,8,4,0.51,0.36,0.24,0.17,0.12,0.07,0.03,0.0,0.0,0.0
74,74,3,0,0.52,0.92,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
75,75,4,3,0.57,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
76,76,6,9,0.43,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,77,8,0,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51
78,78,8,5,0.47,0.18,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,79,9,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
80,80,9,6,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,81,5,3,0.54,0.63,0.64,0.65,0.65,0.65,0.65,0.65,0.65,0.65
82,82,1,8,0.48,0.52,0.48,0.52,0.48,0.52,0.48,0.52,0.48,0.52
83,83,0,4,0.6,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
84,84,9,6,0.52,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,85,5,7,0.46,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,86,8,8,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,87,9,2,0.55,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54
88,88,8,6,0.55,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,89,6,9,0.39,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,90,1,6,0.44,0.56,0.55,0.49,0.51,0.49,0.51,0.49,0.51,0.49
91,91,8,8,0.51,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,92,3,2,0.47,0.88,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
93,93,3,6,0.56,0.54,0.48,0.52,0.48,0.52,0.48,0.52,0.48,0.52
94,94,3,6,0.52,0.49,0.51,0.49,0.51,0.49,0.51,0.49,0.51,0.49
95,95,5,7,0.58,0.28,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,96,0,8,0.54,0.46,0.54,0.46,0.54,0.46,0.54,0.46,0.54,0.46
97,97,4,6,0.48,0.35,0.31,0.29,0.25,0.2,0.14,0.1,0.05,0.02
98,98,5,8,0.45,0.18,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,99,2,3,0.65,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100,100,9,7,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,101,5,3,0.57,0.73,0.84,0.9,0.94,0.97,1.0,1.0,1.0,1.0
102,102,4,5,0.54,0.56,0.61,0.65,0.67,0.68,0.68,0.69,0.7,0.7
103,103,3,3,0.45,0.82,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
104,104,7,9,0.47,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,105,9,9,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,106,7,3,0.56,0.58,0.59,0.58,0.58,0.58,0.58,0.58,0.58,0.58
107,107,2,3,0.48,0.92,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
108,108,9,7,0.59,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,109,7,5,0.52,0.28,0.11,0.03,0.0,0.0,0.0,0.0,0.0,0.0
110,110,1,2,0.46,0.97,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
111,111,2,8,0.51,0.49,0.48,0.52,0.48,0.52,0.48,0.52,0.48,0.52
112,112,1,5,0.47,0.72,0.86,0.93,0.99,1.0,1.0,1.0,1.0,1.0
113,113,8,4,0.59,0.51,0.43,0.38,0.32,0.24,0.16,0.09,0.05,0.01
114,114,0,2,0.51,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
115,115,5,5,0.5,0.38,0.24,0.16,0.1,0.03,0.0,0.0,0.0,0.0
116,116,0,8,0.54,0.46,0.54,0.46,0.54,0.46,0.54,0.46,0.54,0.46
117,117,1,1,0.52,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
118,118,0,3,0.42,0.87,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
119,119,8,8,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,120,4,4,0.48,0.67,0.84,0.95,0.99,1.0,1.0,1.0,1.0,1.0
121,121,0,9,0.41,0.59,0.41,0.59,0.41,0.59,0.41,0.59,0.41,0.59
122,122,3,7,0.54,0.43,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
123,123,3,2,0.53,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
124,124,1,1,0.59,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
125,125,2,1,0.46,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
126,126,4,2,0.51,0.84,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0
127,127,5,5,0.48,0.25,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,128,5,2,0.46,0.6,0.63,0.64,0.64,0.64,0.64,0.64,0.64,0.64
129,129,5,7,0.48,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,130,7,6,0.48,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,131,1,6,0.46,0.55,0.59,0.51,0.55,0.48,0.52,0.48,0.52,0.48
132,132,7,2,0.54,0.56,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57
133,133,3,1,0.54,0.97,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
134,134,9,5,0.46,0.1,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,135,9,9,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,136,2,0,0.57,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
137,137,9,1,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55
138,138,9,0,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51
139,139,6,0,0.55,0.73,0.78,0.81,0.85,0.87,0.87,0.87,0.87,0.87
140,140,4,8,0.5,0.37,0.29,0.2,0.11,0.06,0.0,0.0,0.0,0.0
141,141,4,3,0.5,0.68,0.8,0.86,0.93,0.99,1.0,1.0,1.0,1.0
142,142,3,8,0.57,0.43,0.47,0.51,0.49,0.51,0.49,0.51,0.49,0.51
143,143,8,7,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,144,0,3,0.47,0.92,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
145,145,8,7,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,146,7,1,0.52,0.53,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54
147,147,8,4,0.53,0.42,0.33,0.23,0.15,0.08,0.04,0.0,0.0,0.0
148,148,7,0,0.6,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61
149,149,4,9,0.56,0.39,0.32,0.27,0.19,0.12,0.08,0.04,0.02,0.0
150,150,0,6,0.58,0.56,0.54,0.48,0.52,0.48,0.52,0.48,0.52,0.48
151,151,4,2,0.57,0.84,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0
152,152,4,6,0.51,0.46,0.43,0.46,0.46,0.43,0.42,0.39,0.38,0.34
153,153,3,3,0.47,0.82,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0
154,154,7,8,0.51,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,155,5,0,0.53,0.7,0.85,0.95,1.0,1.0,1.0,1.0,1.0,1.0
156,156,8,5,0.5,0.22,0.12,0.04,0.0,0.0,0.0,0.0,0.0,0.0
157,157,4,7,0.47,0.31,0.19,0.08,0.03,0.0,0.0,0.0,0.0,0.0
158,158,4,1,0.47,0.76,0.92,0.96,1.0,1.0,1.0,1.0,1.0,1.0
159,159,3,3,0.51,0.86,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
160,160,9,2,0.55,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
161,161,5,2,0.48,0.6,0.7,0.76,0.78,0.82,0.86,0.88,0.9,0.92
162,162,3,5,0.56,0.68,0.74,0.83,0.9,0.95,0.98,1.0,1.0,1.0
163,163,7,2,0.5,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48
164,164,7,1,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45
165,165,6,5,0.52,0.25,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
