Dataset,Model,MSE,R2,CV MSE,CV R2,MSE by iteration,R2 by iteration
dataset3_density,KNN,0.0052000933333333,0.9675375806283985,-0.0058970008888888,0.9597625990131272,"{'1': 0.0036506800000000008, '2': 0.00483188, '3': 0.00475492, '4': 0.005278799999999999, '5': 0.00536208, '6': 0.005375560000000001, '7': 0.00563308, '8': 0.005881000000000001, '9': 0.006032839999999999}","{'1': 0.9644054873589891, '2': 0.9669404795487373, '3': 0.9699155393820124, '4': 0.9682545333570356, '5': 0.9686354996392141, '6': 0.9689605984442998, '7': 0.9678893196537204, '8': 0.9667279492467991, '9': 0.9661088190247766}"
dataset3_density,DecisionTree,0.0036260308641975,0.9773001121327608,-0.0040472388888888,0.9720275097497248,"{'1': 0.002722027777777777, '2': 0.003465249999999999, '3': 0.0031034999999999995, '4': 0.003344249999999999, '5': 0.0036929999999999997, '6': 0.0037839999999999996, '7': 0.0041597499999999985, '8': 0.004037749999999999, '9': 0.004324749999999999}","{'1': 0.9734599438610632, '2': 0.9762909047319598, '3': 0.9803641021241315, '4': 0.9798884638893813, '5': 0.978398475995811, '6': 0.978150537713881, '7': 0.9762878562757077, '8': 0.9771562280345627, '9': 0.9757044965683497}"
dataset3_density,RandomForest,0.0028975908785945,0.9820669504099412,-0.0028083076765966,0.9808056735361266,"{'1': 0.0018157914917062018, '2': 0.002393145125269268, '3': 0.002416976156113948, '4': 0.0028760110168231244, '5': 0.0030649756564949003, '6': 0.003076692112645689, '7': 0.0034134855941258496, '8': 0.003426672011117904, '9': 0.0035945687430544142}","{'1': 0.9822958426361729, '2': 0.9836262013519212, '3': 0.9847077502916505, '4': 0.9827043434493906, '5': 0.9820719888394179, '6': 0.9822346542597116, '7': 0.9805418448203105, '8': 0.9806134322277694, '9': 0.9798064958131264}"
dataset3_density,NeuralNetwork,0.0015978662107178,0.99006387840917,-0.0027162283323609,0.9818438874926828,"{'1': 0.001174437217621243, '2': 0.0010756455085066396, '3': 0.001294676511926011, '4': 0.0016545225358548354, '5': 0.001682605768880202, '6': 0.001704379308633806, '7': 0.0019468982874951669, '8': 0.0019276789790157558, '9': 0.0019199517785268593}","{'1': 0.9885491140311687, '2': 0.9926404785121352, '3': 0.9918085594424151, '4': 0.9900500890406887, '5': 0.9901579071470207, '6': 0.9901586227734578, '7': 0.9889019455472892, '8': 0.9890940600534449, '9': 0.9892141291349089}"
dataset8_density,KNN,0.0,1.0,0.0,1.0,"{'1': 0.0, '2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0}","{'1': 1.0, '2': 1.0, '3': 1.0, '4': 1.0, '5': 1.0, '6': 1.0, '7': 1.0, '8': 1.0, '9': 1.0}"
dataset8_density,DecisionTree,0.0,1.0,0.0,1.0,"{'1': 0.0, '2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0}","{'1': 1.0, '2': 1.0, '3': 1.0, '4': 1.0, '5': 1.0, '6': 1.0, '7': 1.0, '8': 1.0, '9': 1.0}"
dataset8_density,RandomForest,0.0,1.0,0.0,1.0,"{'1': 0.0, '2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0}","{'1': 1.0, '2': 1.0, '3': 1.0, '4': 1.0, '5': 1.0, '6': 1.0, '7': 1.0, '8': 1.0, '9': 1.0}"
dataset8_density,NeuralNetwork,1.7224291640904309e-06,0.9999929516965153,-5.545343797630054e-06,0.0,"{'1': 1.2128434747161617e-06, '2': 3.400540686151974e-06, '3': 1.8780009847484447e-06, '4': 1.178140118605153e-06, '5': 2.3494506919513345e-06, '6': 9.084337494905235e-07, '7': 1.851050709637438e-06, '8': 6.685098623540167e-07, '9': 2.0548921991588354e-06}","{'1': 0.9999950369576482, '2': 0.9999860847439953, '3': 0.9999923150854844, '4': 0.9999951789662666, '5': 0.9999903858795214, '6': 0.999996282624043, '7': 0.9999924253679401, '8': 0.9999972644097704, '9': 0.9999915912339676}"
dataset9_density,KNN,0.0549833511111111,0.6947062080827087,-0.0639123057777777,0.6270244615110933,"{'1': 0.052939, '2': 0.054920559999999986, '3': 0.05482239999999999, '4': 0.05403372, '5': 0.054820240000000006, '6': 0.05467024, '7': 0.05586832, '8': 0.05589068, '9': 0.056885000000000005}","{'1': 0.6328987972181053, '2': 0.6759231596390842, '3': 0.6916018338818104, '4': 0.7054274004310397, '5': 0.7080469668465401, '6': 0.7115820785160136, '7': 0.7093209883737386, '8': 0.7103421869733204, '9': 0.7072124608647261}"
dataset9_density,DecisionTree,0.0135844722222222,0.9253463406344844,-0.0261199419753086,0.8495384456969693,"{'1': 0.010183250000000001, '2': 0.011059, '3': 0.011531, '4': 0.014734999999999998, '5': 0.015298, '6': 0.015279999999999995, '7': 0.015055999999999998, '8': 0.014776000000000001, '9': 0.014341999999999999}","{'1': 0.9293850786144671, '2': 0.9347427306358244, '3': 0.9351334627176329, '4': 0.9196700272598549, '5': 0.9185283117844499, '6': 0.9193889428640645, '7': 0.9216646715160759, '8': 0.9234222262945769, '9': 0.9261816140234139}"
dataset9_density,RandomForest,0.0089379638608703,0.9509615385257422,-0.0127114444693943,0.9265689969725802,"{'1': 0.005528964689500001, '2': 0.007977580975000004, '3': 0.009249761147222231, '4': 0.010242742980555561, '5': 0.010150447122222229, '6': 0.009253995288888902, '7': 0.009714681763888892, '8': 0.009115223500000009, '9': 0.009208277280555555}","{'1': 0.9616598426934004, '2': 0.9529256577846009, '3': 0.947966353628542, '4': 0.9441602127986196, '5': 0.9459423412740151, '6': 0.9511796895963154, '7': 0.949455181516271, '8': 0.9527596424974719, '9': 0.9526049249424433}"
dataset9_density,NeuralNetwork,0.007384099371491685,0.9594255872000146,-0.011694178467390287,0.9309701855055575,"{'1': 0.0073608957046946534, '2': 0.004257785547593669, '3': 0.004566546460141361, '4': 0.004903909732309975, '5': 0.006795863194163047, '6': 0.007458087041384072, '7': 0.009572952246382112, '8': 0.010181220266183606, '9': 0.011359634150572683}","{'1': 0.9489564656161716, '2': 0.9748755350054965, '3': 0.9743113297885334, '4': 0.9732656304637535, '5': 0.9638076580395879, '6': 0.9606541701166367, '7': 0.9501925904103837, '8': 0.9472350310240338, '9': 0.9415318743355332}"
